proportionalf_2.txt,wrench_fz.txt,integralf_4.txt,proportionalf_5.txt,wrench_fy.txt,integralf_3.txt,proportionalf_4.txt,wrench_my.txt,integralf_1.txt,wrench_mz.txt,integralf_2.txt,integralf_5.txt,proportionalf_1.txt,wrench_mx.txt,proportionalf_3.txt,wrench_fx.txt,posd3.txt,posa3.txt,posa2.txt,accd1.txt,veld3.txt,trq1.txt,accd4.txt,vela2.txt,error_vel_3.txt,error_pos_5.txt,error_pos_1.txt,trq3.txt,posd5.txt,error_pos_2.txt,veld1.txt,posd4.txt,trq5.txt,trq2.txt,vela1.txt,error_vel_5.txt,veld2.txt,error_vel_4.txt,accd5.txt,error_vel_2.txt,posd2.txt,veld4.txt,posa5.txt,vela3.txt,error_pos_4.txt,posa1.txt,posd1.txt,error_vel_1.txt,trq4.txt,accd2.txt,vela5.txt,posa4.txt,vela4.txt,accd3.txt,veld5.txt,error_pos_3.txt
,,,,,,,,,,,,,,,,-0.993659,-0.942666,0.477633,-0.377764,-0.0503063,1.86568,-0.125354,0.0322215,-0.0021352,0.106084,0.0747273,-2.71015,0.109933,0.0191965,0.0754606,0.496844,0.010437,2.28376,0.076526,0.00544915,0.0251535,0.0250377,-0.0272915,-0.00706793,0.496829,0.0250377,0.00384956,-0.0481711,0.0572424,1.41576,1.49049,-0.00106536,0.999396,-0.125921,-0.0,0.439602,-0.0,0.251839,0.00544915,-0.0509925
,,,,,,,,,,,,,,,,-0.994149,-0.943059,0.477895,-0.370525,-0.0478119,1.8082,-0.122951,0.0288651,-0.00906562,0.106137,0.0747986,-2.8207,0.109986,0.01918,0.071719,0.497088,-0.010437,2.49803,0.0691419,0.00517884,0.0239063,0.0237961,-0.0267675,-0.00495872,0.497075,0.0237961,0.00384956,-0.0387463,0.0574865,1.41643,1.49122,0.00257714,0.995775,-0.123508,-0.0,0.439602,-0.0,0.247013,0.00517884,-0.0510904
,,,,,,,,,,,,,,,,-0.994615,-0.943436,0.478096,-0.363112,-0.0453664,1.85,-0.12049,0.0201384,-0.00766731,0.106187,0.0748228,-2.79725,0.110037,0.0192115,0.0680507,0.49732,-0.006958,2.50325,0.0664568,0.00491384,0.0226836,0.0225789,-0.0262309,0.00254515,0.497308,0.0225789,0.00384956,-0.0376991,0.0577184,1.4171,1.49192,0.00159393,0.984912,-0.121037,-0.0,0.439602,-0.0,0.242071,0.00491384,-0.0511792
,,,,,,,,,,,,,,,,-0.995057,-0.94375,0.478318,-0.355524,-0.0429709,1.93362,-0.117971,0.0228235,-0.00841338,0.106235,0.0749214,-2.7135,0.110085,0.0192108,0.0644574,0.49754,0.041748,2.43532,0.0604152,0.00465427,0.0214858,0.0213865,-0.0256818,-0.00133775,0.497528,0.0213865,0.00384956,-0.0345575,0.0579382,1.41766,1.49259,0.00404212,0.981291,-0.118508,-0.0,0.439602,-0.0,0.237012,0.00465427,-0.0513067
,,,,,,,,,,,,,,,,-0.995475,-0.943986,0.478448,-0.34776,-0.0406266,1.85523,-0.115394,0.0161107,-0.0154938,0.10628,0.075065,-2.79055,0.11013,0.0192889,0.0609408,0.497748,0.006958,2.48235,0.0510173,0.00440025,0.0203136,0.0202197,-0.0251199,0.00420287,0.497737,0.0202197,0.00384956,-0.0251327,0.0581462,1.41815,1.49321,0.00992348,0.970428,-0.11592,-0.0,0.439602,-0.0,0.231836,0.00440025,-0.051489
,,,,,,,,,,,,,,,,-0.99587,-0.944206,0.478459,-0.339819,-0.0383346,1.96498,-0.112758,0.00268512,-0.0184378,0.106323,0.0751738,-2.85755,0.110173,0.0194762,0.0575028,0.497944,-0.017395,2.613,0.0422907,0.00415191,0.0191676,0.0190789,-0.0245454,0.0164825,0.497935,0.0190789,0.00384956,-0.0198968,0.0583427,1.41863,1.4938,0.0152121,0.963186,-0.113273,-0.0,0.439602,-0.0,0.226542,0.00415191,-0.0516639
,,,,,,,,,,,,,,,,-0.996242,-0.944441,0.478459,-0.331699,-0.0360961,1.92839,-0.110063,-0.0,-0.014105,0.106363,0.0753091,-2.83745,0.110213,0.0196623,0.054145,0.49813,-0.024353,2.64436,0.0443045,0.00390938,0.0180483,0.0179647,-0.023958,0.0180483,0.498121,0.0179647,0.00384956,-0.0219911,0.0585279,1.41905,1.49436,0.00984051,0.948702,-0.110566,-0.0,0.439602,-0.0,0.221129,0.00390938,-0.0518004
,,,,,,,,,,,,,,,,-0.996592,-0.944787,0.478459,-0.3234,-0.0339124,1.9493,-0.107308,-0.0,-0.00249646,0.106401,0.0754414,-2.68,0.110251,0.0198373,0.0508694,0.498304,0.003479,2.62345,0.0402768,0.00367279,0.0169565,0.0168778,-0.0233577,0.0169565,0.498296,0.0168778,0.00384956,-0.0314159,0.058702,1.41945,1.49489,0.0105925,0.930597,-0.1078,-0.0,0.439602,-0.0,0.215597,0.00367279,-0.0518048
,,,,,,,,,,,,,,,,-0.99692,-0.945195,0.478459,-0.314921,-0.0317846,1.78207,-0.104494,-0.0,0.00905613,0.106437,0.0754708,-2.5728,0.110286,0.0200015,0.0476776,0.498467,-0.024353,2.60777,0.0449758,0.00344227,0.0158925,0.0158187,-0.0227445,0.0158925,0.49846,0.0158187,0.00384956,-0.0408407,0.0588655,1.41991,1.49538,0.00270182,0.919734,-0.104974,-0.0,0.439602,-0.0,0.209944,0.00344227,-0.0517248
,,,,,,,,,,,,,,,,-0.997228,-0.945525,0.478459,-0.306261,-0.0297139,1.81865,-0.101619,-0.0,0.00484362,0.10647,0.0755091,-2.6934,0.11032,0.0201552,0.0445716,0.49862,0.017395,2.57119,0.042962,0.00321795,0.0148572,0.0147881,-0.0221182,0.0148572,0.498614,0.0147881,0.00384956,-0.0345575,0.0590185,1.42033,1.49584,0.0016096,0.90525,-0.102087,-0.0,0.439602,-0.0,0.204171,0.00321795,-0.0517024
,,,,,,,,,,,,,,,,-0.997515,-0.945902,0.478459,-0.297418,-0.0277016,1.81342,-0.0986844,-0.0,0.00790315,0.106501,0.0755872,-2.6599,0.110351,0.0202988,0.041553,0.498763,-0.0,2.54506,0.0389343,0.00299995,0.013851,0.0137866,-0.0214787,0.013851,0.498757,0.0137866,0.00384956,-0.0356047,0.0591614,1.42068,1.49627,0.00261874,0.908871,-0.0991392,-0.0,0.439602,-0.0,0.198275,0.00299995,-0.0516125
,,,,,,,,,,,,,,,,-0.997782,-0.946342,0.478459,-0.288391,-0.0257488,2.00678,-0.0956886,-0.0,0.0161391,0.10653,0.0757464,-2.53595,0.11038,0.0204324,0.0386238,0.498896,0.013916,2.52416,0.0261799,0.00278842,0.0128746,0.0128146,-0.0208261,0.0128746,0.498891,0.0128146,0.00384956,-0.0418879,0.0592943,1.42093,1.49667,0.0124439,0.901629,-0.0961304,-0.0,0.439602,-0.0,0.192258,0.00278842,-0.0514398
,,,,,,,,,,,,,,,,-0.99803,-0.946688,0.478459,-0.27918,-0.0238568,1.98588,-0.0926316,-0.0,0.0148895,0.106557,0.0758767,-2.6063,0.110407,0.0205563,0.0357858,0.499019,0.038269,2.50325,0.0228235,0.00258347,0.0119286,0.011873,-0.0201602,0.0119286,0.499015,0.011873,0.00384956,-0.0387463,0.0594178,1.42117,1.49704,0.0129623,0.890766,-0.09306,-0.0,0.439602,-0.0,0.186117,0.00258347,-0.0513422
,,,,,,,,,,,,,,,,-0.998259,-0.947002,0.478448,-0.269783,-0.0220269,1.91272,-0.0895131,-0.0,0.00729466,0.106582,0.0759589,-2.68,0.110432,0.0206811,0.0330408,0.499134,-0.017395,2.47712,0.0268512,0.00238526,0.0110136,0.0109622,-0.019481,0.0110136,0.49913,0.0109622,0.00384956,-0.0293215,0.0595319,1.42143,1.49739,0.00618961,0.887145,-0.0899278,-0.0,0.439602,-0.0,0.179853,0.00238526,-0.0512574
,,,,,,,,,,,,,,,,-0.998471,-0.947394,0.478448,-0.2602,-0.0202602,1.99633,-0.0863327,-0.00067128,0.0184861,0.106605,0.0760948,-2.62305,0.110454,0.0207868,0.0303908,0.499239,0.038269,2.44054,0.0208097,0.0021939,0.0101303,0.0100829,-0.0187883,0.0108015,0.499235,0.0100829,0.00384956,-0.0387463,0.0596371,1.42161,1.49771,0.00958106,0.879903,-0.0867333,-0.0,0.439602,-0.0,0.173464,0.0021939,-0.0510761
,,,,,,,,,,,,,,,,-0.998665,-0.947756,0.478448,-0.250429,-0.018558,2.0904,-0.0830901,-0.0,0.0201883,0.106626,0.0762751,-2.56945,0.110475,0.0208838,0.0278375,0.499335,-0.027832,2.44054,0.0107405,0.00200953,0.00927915,0.00923577,-0.0180822,0.00927915,0.499332,0.00923577,0.00384956,-0.0387463,0.0597337,1.42172,1.498,0.017097,0.872661,-0.0834762,-0.0,0.439602,-0.0,0.16695,0.00200953,-0.0509089
,,,,,,,,,,,,,,,,-0.998842,-0.94807,0.478448,-0.240469,-0.0169216,2.10608,-0.0797849,-0.0,0.0123999,0.106645,0.0764203,-2.7336,0.110495,0.0209725,0.0253828,0.499424,0.017395,2.43009,0.0107405,0.0018323,0.00846094,0.00842134,-0.0173624,0.00846094,0.499421,0.00842134,0.00384956,-0.0293215,0.0598441,1.42184,1.49826,0.0146423,0.865419,-0.0801563,-0.0,0.43958,-0.0,0.16031,0.0018323,-0.0507721
,,,,,,,,,,,,,,,,-0.999003,-0.948211,0.478448,-0.230319,-0.0153522,1.90226,-0.0764168,-0.0,0.00349732,0.106663,0.0765011,-2.79055,0.110512,0.0210531,0.0230287,0.499504,0.038269,2.41441,0.0147682,0.00166233,0.00767624,0.0091152,-0.016629,0.00767624,0.499502,0.00764028,0.00384956,-0.0188496,0.0599243,1.422,1.4985,0.00826054,0.865419,-0.076773,-0.0,0.43958,-0.00147493,0.153544,0.00166233,-0.050792
,,,,,,,,,,,,,,,,-0.999149,-0.948305,0.478448,-0.219978,-0.0138512,1.72458,-0.0729853,-0.0,-0.00337919,0.106678,0.076569,-2.814,0.110528,0.0211261,0.0207771,0.499577,0.017395,2.40919,0.0161107,0.00149977,0.00692569,0.00689322,-0.0158819,0.00692569,0.499575,0.00689322,0.00384956,-0.010472,0.059997,1.42215,1.49872,0.00466634,0.861798,-0.0733261,-0.0,0.43958,-0.0,0.14665,0.00149977,-0.0508437
,,,,,,,,,,,,,,,,-0.99928,-0.9484,0.478448,-0.209446,-0.0124197,1.72981,-0.0694903,-0.0,-0.00299489,0.106693,0.0766854,-2.8073,0.110542,0.0211918,0.0186298,0.499642,-0.013916,2.39873,0.0107405,0.00134474,0.00620993,0.00618078,-0.015121,0.00620993,0.49964,0.00618078,0.00384956,-0.00942478,0.0600623,1.42224,1.49892,0.0078893,0.850935,-0.0698152,-0.0,0.43958,-0.0,0.139628,0.00134474,-0.0508808
,,,,,,,,,,,,,,,,-0.999398,-0.94851,0.478448,-0.19872,-0.011059,1.78207,-0.0659312,-0.0,-0.00163425,0.106705,0.0768614,-2.7604,0.110555,0.0212504,0.0165888,0.4997,0.020874,2.39873,0.00067128,0.00119739,0.0055296,0.00550362,-0.0143462,0.0055296,0.499699,0.00550362,0.00384956,-0.00942478,0.0601207,1.42224,1.4991,0.0159175,0.843693,-0.06624,-0.0,0.43958,-0.0,0.132478,0.00119739,-0.0508881
,,,,,,,,,,,,,,,,-0.999502,-0.948604,0.478448,-0.1878,-0.00977054,1.86568,-0.0623079,-0.0,0.000701438,0.106717,0.0770176,-2.7135,0.110566,0.0213025,0.014656,0.499752,0.013916,2.39873,-0.0,0.00105786,0.00488535,0.00486237,-0.0135574,0.00488535,0.499751,0.00486237,0.00384956,-0.010472,0.0601725,1.42224,1.49925,0.014656,0.836451,-0.0626001,-0.0,0.43958,-0.0,0.125198,0.00105786,-0.050898
,,,,,,,,,,,,,,,,-0.999593,-0.948698,0.478448,-0.176685,-0.0085555,1.85523,-0.0586198,-0.0,-0.00122511,0.106726,0.0771549,-2.67665,0.110576,0.0213483,0.0128334,0.499798,-0.003479,2.41441,-0.0,0.000926291,0.00427781,0.00425768,-0.0127546,0.00427781,0.499797,0.00425768,0.00384956,-0.00733038,0.0602181,1.42224,1.49939,0.0128334,0.840072,-0.0588952,-0.0,0.43958,-0.0,0.117788,0.000926291,-0.0508953
,,,,,,,,,,,,,,,,-0.999673,-0.948761,0.478448,-0.165374,-0.0074152,1.82387,-0.0548667,-0.0,-8.48213e-05,0.106735,0.0772746,-2.66325,0.110585,0.0213882,0.011123,0.499837,0.006958,2.40396,-0.0,0.000802817,0.00370766,0.00369019,-0.0119377,0.00370766,0.499837,0.00369019,0.00384956,-0.00733038,0.0602578,1.42224,1.49951,0.011123,0.836451,-0.0551248,-0.0,0.43958,-0.0,0.110248,0.000802817,-0.0509123
,,,,,,,,,,,,,,,,-0.999742,-0.948808,0.478448,-0.153866,-0.00635098,1.76639,-0.0510483,-0.0,-0.00216219,0.106743,0.0773778,-2.66325,0.110592,0.0214226,0.00952661,0.499872,0.017395,2.41441,-0.0,0.000687583,0.00317554,0.00316056,-0.0111066,0.00317554,0.499871,0.00316056,0.00384956,-0.00418879,0.060292,1.42224,1.49961,0.00952661,0.83283,-0.0512888,-0.0,0.43958,-0.0,0.102576,0.000687583,-0.0509339
,,,,,,,,,,,,,,,,-0.999801,-0.948808,0.478448,-0.14216,-0.00536413,1.72458,-0.0471641,-0.0,-0.00431693,0.106749,0.0774655,-2.6599,0.110598,0.0214518,0.00804632,0.499901,0.013916,2.41964,-0.0,0.000580732,0.00268211,0.00266945,-0.0102613,0.00268211,0.4999,0.00266945,0.00384956,-0.0010472,0.0603211,1.42224,1.4997,0.00804632,0.836451,-0.0473866,-0.0,0.43958,-0.0,0.0947717,0.000580732,-0.0509924
,,,,,,,,,,,,,,,,-0.99985,-0.948824,0.478448,-0.130254,-0.00445598,1.7089,-0.0432138,-0.0,-0.00340879,0.106754,0.0775391,-2.6666,0.110604,0.0214763,0.00668408,0.499925,0.013916,2.43009,-0.0,0.000482405,0.00222803,0.0022175,-0.00940164,0.00222803,0.499925,0.0022175,0.00384956,-0.0010472,0.0603455,1.42224,1.49977,0.00668408,0.829209,-0.043418,-0.0,0.43958,-0.0,0.0868346,0.000482405,-0.0510257
,,,,,,,,,,,,,,,,-0.99989,-0.948824,0.478448,-0.118148,-0.00362788,1.67755,-0.0391971,-0.0,-0.00362788,0.106759,0.0775996,-2.67665,0.110608,0.0214965,0.00544191,0.499945,-0.024353,2.41441,-0.0,0.000392747,0.00181397,0.00180539,-0.00852757,0.00181397,0.499945,0.00180539,0.00384956,0.0,0.0603656,1.42224,1.49983,0.00544191,0.825588,-0.0393826,-0.0,0.43958,-0.0,0.0787639,0.000392747,-0.0510661
