proportionalf_1.txt,wrench_mx.txt,wrench_fx.txt,integralf_3.txt,wrench_fy.txt,integralf_2.txt,integralf_1.txt,wrench_fz.txt,proportionalf_4.txt,wrench_mz.txt,proportionalf_3.txt,integralf_5.txt,integralf_4.txt,wrench_my.txt,proportionalf_5.txt,proportionalf_2.txt,posd1.txt,error_vel_4.txt,accd1.txt,accd5.txt,vela4.txt,error_vel_1.txt,trq1.txt,error_pos_1.txt,posa3.txt,error_vel_2.txt,error_pos_3.txt,error_pos_2.txt,veld2.txt,error_pos_4.txt,posd5.txt,posa2.txt,error_vel_3.txt,accd3.txt,error_vel_5.txt,trq2.txt,veld1.txt,posd3.txt,accd4.txt,vela5.txt,trq5.txt,posd2.txt,accd2.txt,posa1.txt,veld4.txt,veld5.txt,trq3.txt,posd4.txt,error_pos_5.txt,vela1.txt,posa5.txt,vela3.txt,posa4.txt,vela2.txt,veld3.txt,trq4.txt
,,,,,,,,,,,,,,,,1.40192,-0.0580421,-0.1517,-0.0671185,0.522124,0.0335711,2.38306,0.123025,-0.333009,-0.0305561,-0.0649588,0.0893062,0.0929595,0.0553707,0.617686,0.022847,0.013315,0.0448373,0.510561,3.64252,1.16199,-0.397968,-0.0610505,-0.0,0.111328,0.112153,-0.012136,1.27889,0.464082,0.510561,-3.33325,0.56161,0.613925,1.12842,0.00376106,-0.334056,0.506239,0.123516,-0.320741,0.532287
,,,,,,,,,,,,,,,,1.41353,-0.0645754,-0.163259,-0.0721901,0.528024,0.0346814,2.51371,0.123712,-0.336276,-0.0360524,-0.0648966,0.088896,0.0928335,0.0547429,0.622788,0.0241862,0.0158735,0.0479831,0.509865,3.71569,1.16042,-0.401173,-0.0656597,-0.0,0.118286,0.113082,-0.0130607,1.28982,0.463448,0.509865,-3.31315,0.566247,0.619027,1.12574,0.00376106,-0.33615,0.511504,0.128886,-0.320277,0.39831
,,,,,,,,,,,,,,,,1.42512,-0.0608302,-0.174792,-0.0772509,0.523599,0.0323198,2.52416,0.12393,-0.33959,-0.0388727,-0.0647826,0.0884945,0.0926983,0.0541306,0.627883,0.0255154,0.011133,0.0511219,0.509118,3.87247,1.15873,-0.404373,-0.0702592,-0.0,0.118286,0.11401,-0.0139834,1.30119,0.462769,0.509118,-3.2629,0.570878,0.624122,1.12641,0.00376106,-0.330914,0.516748,0.131571,-0.319781,0.503319
,,,,,,,,,,,,,,,,1.4367,-0.0615558,-0.1863,-0.0823001,0.523599,0.0291718,2.53984,0.124714,-0.342905,-0.0450587,-0.0646634,0.0881017,0.0925538,0.0537326,0.632971,0.0268344,0.0168959,0.0542534,0.50832,3.80453,1.15692,-0.407568,-0.0748481,-0.0,0.125244,0.114936,-0.014904,1.31199,0.462043,0.50832,-3.30645,0.575502,0.629209,1.12775,0.00376106,-0.33615,0.52177,0.137612,-0.319255,0.445383
,,,,,,,,,,,,,,,,1.44826,-0.0579024,-0.197779,-0.0873369,0.519174,0.0393344,2.60255,0.12556,-0.346282,-0.044541,-0.064476,0.0876369,0.0924002,0.0531059,0.63805,0.028224,0.0143125,0.0573771,0.507472,3.61639,1.155,-0.410758,-0.0794257,-0.0,0.125244,0.115861,-0.0158224,1.3227,0.461272,0.507472,-3.2696,0.580119,0.634288,1.11567,0.00376106,-0.333009,0.527013,0.136941,-0.318696,0.488835
,,,,,,,,,,,,,,,,1.4598,-0.0660941,-0.209229,-0.0923606,0.526549,0.0372994,2.68094,0.125812,-0.349534,-0.0473889,-0.0644084,0.0871101,0.0922374,0.0524933,0.64312,0.029674,0.015949,0.0604925,0.506573,3.69478,1.15297,-0.413942,-0.0839915,-0.0,0.118286,0.116784,-0.0167383,1.33399,0.460455,0.506573,-3.34665,0.584728,0.639359,1.11567,0.00376106,-0.334056,0.532234,0.139626,-0.318107,0.449004
,,,,,,,,,,,,,,,,1.47132,-0.062532,-0.220647,-0.0973704,0.522124,0.0371638,2.67571,0.126104,-0.352911,-0.0529311,-0.0642092,0.0865515,0.0920654,0.0520493,0.648181,0.0311541,0.0165695,0.0635991,0.505625,3.89337,1.15082,-0.41712,-0.0885445,-0.0,0.118286,0.117706,-0.0176517,1.34522,0.459592,0.505625,-3.31985,0.589328,0.64442,1.11365,0.00376106,-0.334056,0.537279,0.144997,-0.317487,0.416415
,,,,,,,,,,,,,,,,1.48282,-0.0649151,-0.232031,-0.102365,0.523599,0.0389281,2.63913,0.126837,-0.356147,-0.0551261,-0.064145,0.0860213,0.0918844,0.0513089,0.653232,0.0326041,0.0130322,0.0666964,0.504626,3.71569,1.14855,-0.420292,-0.0930842,-0.0,0.125244,0.118625,-0.0185625,1.35598,0.458684,0.504626,-3.31315,0.593919,0.649471,1.10963,0.00376106,-0.329867,0.542611,0.14701,-0.316835,0.510561
,,,,,,,,,,,,,,,,1.49429,-0.0614438,-0.243381,-0.107345,0.519174,0.0405786,2.84294,0.127235,-0.359445,-0.0580013,-0.0640113,0.0854389,0.0916942,0.050891,0.658273,0.0341044,0.0147618,0.0697839,0.503577,3.60594,1.14618,-0.423457,-0.0976099,-0.0,0.121765,0.119543,-0.0194704,1.36706,0.45773,0.503577,-3.36675,0.598502,0.654512,1.1056,0.00376106,-0.330914,0.547611,0.149696,-0.316153,0.3621
,,,,,,,,,,,,,,,,1.50574,-0.0698171,-0.254693,-0.112309,0.526549,0.0401021,2.73842,0.127518,-0.362681,-0.0602144,-0.0639335,0.0848142,0.091495,0.0501757,0.663304,0.035645,0.0112862,0.0728612,0.502479,3.81498,1.14369,-0.426615,-0.102121,-0.0,0.114807,0.120459,-0.0203754,1.37822,0.456732,0.502479,-3.27965,0.603074,0.659542,1.10359,0.00376106,-0.326726,0.552898,0.151709,-0.315439,0.50694
,,,,,,,,,,,,,,,,1.51716,-0.0634861,-0.265967,-0.117255,0.519174,0.0395126,2.74365,0.128329,-0.365933,-0.0597514,-0.0638326,0.0841876,0.0912867,0.0496494,0.668323,0.0371856,0.0130774,0.0759278,0.501331,3.65297,1.14108,-0.429765,-0.106616,-0.0,0.107849,0.121373,-0.0212773,1.38884,0.455688,0.501331,-3.4103,0.607636,0.664539,1.10157,0.00378319,-0.327773,0.557987,0.151038,-0.314695,0.354858
,,,,,,,,,,,,,,,,1.52856,-0.0645747,-0.2772,-0.122184,0.519174,0.0401531,2.71229,0.12861,-0.369247,-0.0619825,-0.0636613,0.0835185,0.0910694,0.0489575,0.67333,0.0387664,0.0169935,0.0789832,0.498659,3.55891,1.13837,-0.432908,-0.111096,0.00147493,0.114807,0.122285,-0.022176,1.39995,0.454599,0.500134,-3.29975,0.612188,0.669547,1.09821,0.00378319,-0.330914,0.56323,0.153052,-0.313921,0.50694
,,,,,,,,,,,,,,,,1.53993,-0.0686579,-0.288391,-0.127094,0.522124,0.039339,2.83772,0.128913,-0.372577,-0.0669077,-0.0634665,0.0827868,0.0908432,0.0482545,0.678325,0.0404077,0.0104682,0.082027,0.498888,3.73659,1.13554,-0.436044,-0.115558,-0.0,0.118286,0.123195,-0.0230713,1.41102,0.453466,0.498888,-3.33995,0.616728,0.674542,1.0962,0.00378319,-0.323584,0.568473,0.157751,-0.313116,0.315027
,,,,,,,,,,,,,,,,1.55127,-0.0565613,-0.299538,-0.131985,0.50885,0.0384131,2.73842,0.129591,-0.37575,-0.0731844,-0.0634205,0.0820628,0.090608,0.0476284,0.683308,0.0420389,0.0249172,0.0850586,0.497592,3.61117,1.1326,-0.439171,-0.120003,-0.0,0.121765,0.124102,-0.0239631,1.42168,0.452288,0.497592,-3.3165,0.621257,0.679524,1.09419,0.00378319,-0.337198,0.573628,0.163792,-0.31228,0.47073
,,,,,,,,,,,,,,,,1.56258,-0.0799074,-0.31064,-0.136855,0.530973,0.0360335,2.76455,0.129654,-0.379127,-0.0714146,-0.0631617,0.0813163,0.090364,0.0467691,0.688277,0.0436903,0.0100749,0.0880776,0.496248,3.44916,1.12955,-0.442289,-0.12443,-0.0,0.121765,0.125007,-0.0248512,1.43293,0.451066,0.496248,-3.3165,0.625773,0.684494,1.09352,0.00378319,-0.32149,0.579004,0.161779,-0.311415,0.300543
,,,,,,,,,,,,,,,,1.57386,-0.076749,-0.321694,-0.141705,0.526549,0.0362282,2.77501,0.130371,-0.382285,-0.0797229,-0.0631141,0.0804566,0.090111,0.0460965,0.693232,0.0454524,0.017254,0.0910834,0.494855,3.60594,1.12639,-0.445399,-0.128837,-0.0,0.121765,0.125909,-0.0257355,1.44349,0.4498,0.494855,-3.3701,0.630278,0.689449,1.09016,0.00378319,-0.327773,0.584181,0.169834,-0.310519,0.43452
