proportionalf_1.txt,proportionalf_2.txt,proportionalf_3.txt,wrench_fy.txt,integralf_4.txt,wrench_my.txt,integralf_5.txt,wrench_mz.txt,integralf_1.txt,integralf_2.txt,integralf_3.txt,proportionalf_5.txt,wrench_fz.txt,wrench_fx.txt,proportionalf_4.txt,wrench_mx.txt,accd3.txt,trq2.txt,vela5.txt,trq4.txt,trq3.txt,accd2.txt,posd5.txt,vela1.txt,trq5.txt,vela2.txt,posa4.txt,vela4.txt,veld4.txt,error_vel_4.txt,posa1.txt,posd2.txt,veld5.txt,error_vel_5.txt,posa2.txt,accd4.txt,vela3.txt,error_pos_4.txt,veld3.txt,trq1.txt,veld2.txt,posd4.txt,accd5.txt,error_pos_2.txt,error_pos_3.txt,error_pos_5.txt,posd3.txt,posa3.txt,error_vel_1.txt,accd1.txt,error_vel_2.txt,veld1.txt,error_pos_1.txt,posa5.txt,posd1.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,-0.222299,0.292656,0.00147493,-0.141219,-0.48575,0.130254,0.000254834,-0.0,-0.678405,0.00067128,0.000752212,0.0132743,0.00891211,-0.00436223,-0.0,0.000225674,0.00399891,0.00252399,0.000140969,0.173672,-0.0911062,-0.000451314,-0.0114074,-0.005226,0.00668408,0.000300898,0.0491845,8.47049e-05,0.00517547,7.78433e-05,-0.000400856,-0.00557633,0.00222803,0.043418,0.0060128,0.00222803,7.52246e-05,0.000176991,7.52246e-05,0.0796988
,,,,,,,,,,,,,,,,-0.242618,0.329238,0.00147493,-0.14484,-0.49915,0.14216,0.000297358,-0.0,-0.671447,0.00067128,0.00106195,0.019174,0.0107284,-0.00844562,-0.0,0.000299227,0.0045133,0.00303837,0.000140969,0.189546,-0.0942478,-0.000662978,-0.0137323,-0.005226,0.00804632,0.000398969,0.0536799,0.000158258,0.00603954,9.8243e-05,-0.000526385,-0.00656593,0.00268211,0.0473866,0.00737504,0.00268211,9.97422e-05,0.000199115,9.97422e-05,0.0805155
,,,,,,,,,,,,,,,,-0.262597,0.344916,-0.0,-0.148461,-0.50585,0.153866,0.000345249,-0.0,-0.657531,-0.0,0.00161504,0.0324484,0.0127022,-0.0197462,-0.0,0.000386994,0.00507226,0.00507226,0.000151038,0.205155,-0.10472,-0.00109905,-0.0162587,-0.0,0.00952661,0.000515992,0.0580999,0.000235956,0.00703644,0.00012401,-0.000676173,-0.00771261,0.00317554,0.0512887,0.00952661,0.00317554,0.000128998,0.000221239,0.000128998,0.0884611
,,,,,,,,,,,,,,,,-0.282237,0.376272,0.00147493,-0.162945,-0.6097,0.165374,0.000398949,-0.0,-0.647094,0.00067128,0.00221239,0.0575221,0.0148306,-0.0426915,-0.0,0.000490146,0.00567505,0.00420012,0.000161107,0.220499,-0.122522,-0.00155886,-0.0189831,-0.0,0.011123,0.000653528,0.0624451,0.000329038,0.00814844,0.00017771,-0.000852218,-0.00900066,0.00370766,0.0551248,0.0104517,0.00370766,0.000163382,0.000221239,0.000163382,0.103539
,,,,,,,,,,,,,,,,-0.301541,0.412854,-0.0,-0.155703,-0.75375,0.176685,0.000458894,-0.0,-0.629699,0.00067128,0.00278761,0.0634218,0.0171113,-0.0463106,-0.0,0.000609834,0.00632091,0.00632091,0.000171177,0.235581,-0.126711,-0.0019745,-0.0219023,0.005226,0.0128334,0.000813112,0.0667157,0.000438657,0.00931077,0.000215531,-0.00105648,-0.0103673,0.00427781,0.0588952,0.0121622,0.00427781,0.000203278,0.000243363,0.000203278,0.104809
,,,,,,,,,,,,,,,,-0.320511,0.433758,0.00147493,-0.105009,-0.96145,0.1878,0.000525509,-0.0,-0.615783,0.00067128,0.00320796,0.0501475,0.0195414,-0.0306061,-0.0,0.000747188,0.00700911,0.00553419,0.000181246,0.2504,-0.123569,-0.00221171,-0.0250128,-0.0,0.014656,0.000996251,0.0709122,0.000565943,0.0101288,0.000260022,-0.0012909,-0.0114197,0.00488535,0.0626001,0.0139848,0.00488535,0.000249063,0.000265487,0.000249063,0.0985565
,,,,,,,,,,,,,,,,-0.339147,0.465114,0.00147493,-0.047073,-1.1122,0.19872,0.000599214,-0.0,-0.598388,0.00067128,0.00345133,0.0412979,0.0221184,-0.0191795,-0.0,0.000903322,0.00773891,0.00626399,0.000191315,0.26496,-0.103673,-0.0022469,-0.0283114,-0.0,0.0165888,0.00120443,0.0750349,0.000712007,0.0107106,0.000333728,-0.00155737,-0.0122679,0.0055296,0.06624,0.0159175,0.0055296,0.000301107,0.000265487,0.000301107,0.0753612
,,,,,,,,,,,,,,,,-0.357452,0.49647,-0.0,0.03621,-1.35005,0.209446,0.000680423,-0.0,-0.580993,0.00067128,0.0035177,0.0221239,0.0248397,0.00271583,-0.0,0.00107933,0.00850957,0.00850957,0.000201384,0.279261,-0.0858702,-0.0020786,-0.0317946,-0.0,0.0186298,0.0014391,0.0790843,0.000877941,0.0108814,0.000392813,-0.00185774,-0.0127392,0.00620993,0.0698152,0.0179585,0.00620993,0.000359775,0.000287611,0.000359775,0.0540756
,,,,,,,,,,,,,,,,-0.375427,0.538278,0.00147493,0.047073,-1.5745,0.219978,0.00076954,-0.0,-0.570556,0.00067128,0.00349557,0.00442478,0.0277028,0.023278,-0.0,0.00127627,0.00932036,0.00784543,0.000211453,0.293304,-0.0439823,-0.00179388,-0.0354593,-0.0,0.0207771,0.0017017,0.0830608,0.00106482,0.0105767,0.000459805,-0.00219386,-0.0127706,0.00692569,0.0733261,0.0201058,0.00692569,0.000425424,0.000309734,0.000425424,0.00852298
,,,,,,,,,,,,,,,,-0.393075,0.595764,0.00147493,0.050694,-1.67165,0.230319,0.000866962,-0.0,-0.563598,0.00067128,0.00349557,-0.00147493,0.030705,0.0321799,-0.0,0.00149521,0.0101705,0.00869562,0.000221523,0.307092,-0.0010472,-0.00150196,-0.0393021,-0.0,0.0230287,0.00199362,0.0869648,0.00127369,0.0101559,0.000557227,-0.00256752,-0.0127235,0.00767624,0.076773,0.0223574,0.00767624,0.000498405,0.000309734,0.000498405,-0.0382549
