proportionalf_4.txt,proportionalf_1.txt,wrench_fx.txt,wrench_fz.txt,integralf_4.txt,integralf_5.txt,integralf_1.txt,proportionalf_2.txt,wrench_mx.txt,wrench_mz.txt,wrench_my.txt,integralf_2.txt,wrench_fy.txt,proportionalf_3.txt,proportionalf_5.txt,integralf_3.txt,posd1.txt,error_vel_1.txt,veld3.txt,error_pos_4.txt,error_vel_3.txt,error_vel_4.txt,trq5.txt,vela4.txt,accd5.txt,trq3.txt,posa3.txt,error_pos_1.txt,veld4.txt,veld1.txt,error_pos_5.txt,veld2.txt,accd4.txt,vela5.txt,vela1.txt,posa4.txt,accd2.txt,accd3.txt,trq1.txt,error_pos_3.txt,accd1.txt,posd5.txt,posd2.txt,trq2.txt,posd4.txt,error_vel_5.txt,posd3.txt,trq4.txt,posa1.txt,vela3.txt,error_vel_2.txt,veld5.txt,vela2.txt,posa5.txt,error_pos_2.txt,posa2.txt
,,,,,,,,,,,,,,,,0.841391,0.0117319,-0.323401,0.0459603,-0.00924146,-0.145776,0.100891,0.792035,0.0862387,-4.2545,-0.211586,0.0997435,0.64626,0.924002,0.460083,0.323401,0.109972,-0.0,0.91227,0.544049,0.0553782,-0.0553782,1.62529,-0.0829006,0.158224,0.4638,0.294487,2.24718,0.590009,0.507659,-0.294487,0.10863,0.741647,-0.314159,-0.147838,0.507659,0.471239,0.00371681,0.0848661,0.209621
,,,,,,,,,,,,,,,,0.850639,0.0166246,-0.323938,0.0439991,-0.00559038,-0.140283,0.10437,0.787611,0.081201,-4.3416,-0.215011,0.0988214,0.647327,0.925538,0.465164,0.323938,0.103557,0.00147493,0.908914,0.552478,0.052164,-0.052164,1.61483,-0.082713,0.14904,0.468881,0.297724,2.20015,0.596477,0.507022,-0.297724,0.097767,0.751817,-0.318348,-0.145958,0.508497,0.469896,0.00371681,0.0832092,0.214514
,,,,,,,,,,,,,,,,0.859901,0.0120275,-0.324444,0.0425571,-0.0102847,-0.13928,0.10437,0.787611,0.0761509,-4.29805,-0.218231,0.0991527,0.648331,0.926983,0.470253,0.324444,0.097126,-0.0,0.914955,0.560398,0.0489419,-0.0489419,1.7089,-0.0827348,0.139834,0.47397,0.300966,2.20015,0.602955,0.509283,-0.300966,0.076041,0.760749,-0.314159,-0.147466,0.509283,0.47191,0.00371681,0.0815877,0.219378
,,,,,,,,,,,,,,,,0.869178,0.0133797,-0.324917,0.0412354,-0.0076164,-0.139816,0.10437,0.789085,0.0710893,-4.3617,-0.221388,0.0990952,0.64927,0.928335,0.47535,0.324917,0.0906803,-0.0,0.914955,0.568208,0.0457124,-0.0457124,1.7089,-0.0828243,0.130607,0.479067,0.304212,2.2106,0.609443,0.51002,-0.304212,0.079662,0.770083,-0.317301,-0.148335,0.51002,0.473253,0.00371681,0.0801926,0.22402
,,,,,,,,,,,,,,,,0.878468,0.00725548,-0.325358,0.0397679,-0.00701015,-0.134516,0.107849,0.784661,0.0660169,-4.31145,-0.224514,0.0993529,0.650144,0.929595,0.480453,0.325358,0.084221,-0.0,0.922339,0.576173,0.042476,-0.042476,1.75071,-0.0829498,0.12136,0.48417,0.307464,2.26286,0.61594,0.510705,-0.307464,0.101388,0.779115,-0.318348,-0.147895,0.510705,0.473253,0.00371681,0.0788223,0.228641
,,,,,,,,,,,,,,,,0.88777,0.00842277,-0.325767,0.0386628,-0.0074187,-0.138131,0.100891,0.789085,0.0609346,-4.3416,-0.227656,0.0995522,0.650954,0.930762,0.485564,0.325767,0.0777488,-0.0,0.922339,0.583783,0.0392332,-0.0392332,1.68277,-0.0830639,0.112095,0.489281,0.310719,2.25763,0.622446,0.51134,-0.310719,0.079662,0.788218,-0.318348,-0.1495,0.51134,0.475267,0.00371681,0.0774259,0.233293
,,,,,,,,,,,,,,,,0.897083,0.0068122,-0.326143,0.0375213,-0.00884199,-0.140336,0.100891,0.792035,0.055843,-4.44545,-0.230624,0.0998533,0.651699,0.931837,0.49068,0.326143,0.0712649,-0.0,0.925025,0.591438,0.0359846,-0.0359846,1.66709,-0.0833547,0.102813,0.494397,0.313979,2.15834,0.628959,0.511924,-0.313979,0.086904,0.797229,-0.317301,-0.153151,0.511924,0.479294,0.00371681,0.0757919,0.238187
,,,,,,,,,,,,,,,,0.906406,0.00846514,-0.326486,0.0359223,-0.00813837,-0.139656,0.10437,0.792035,0.0507429,-4.39855,-0.233907,0.100175,0.652379,0.932818,0.495802,0.326486,0.0647703,-0.0,0.924353,0.599557,0.0327305,-0.0327305,1.73503,-0.0833349,0.0935156,0.499519,0.317242,2.05904,0.63548,0.512457,-0.317242,0.101388,0.806231,-0.318348,-0.149451,0.512457,0.475938,0.00371681,0.0743527,0.242889
,,,,,,,,,,,,,,,,0.915739,0.00331222,-0.326797,0.034728,-0.011591,-0.136091,0.10437,0.789085,0.0456352,-4.47225,-0.236986,0.0999719,0.652995,0.933707,0.500929,0.326797,0.0582658,-0.0,0.930395,0.607279,0.0294714,-0.0294714,1.67232,-0.0835226,0.0842041,0.504646,0.320509,1.99111,0.642007,0.512939,-0.320509,0.079662,0.815767,-0.315206,-0.151154,0.512939,0.477952,0.00371681,0.0728564,0.247652
,,,,,,,,,,,,,,,,0.92508,0.00343637,-0.327076,0.0336501,-0.00977498,-0.135541,0.107849,0.789085,0.0405205,-4.44545,-0.240081,0.100231,0.653545,0.934502,0.506061,0.327076,0.0517525,-0.0,0.931066,0.614889,0.026208,-0.026208,1.688,-0.0836975,0.07488,0.509777,0.323778,1.93362,0.648539,0.513369,-0.323778,0.083283,0.824849,-0.317301,-0.152218,0.513369,0.479294,0.00371681,0.0714638,0.252314
,,,,,,,,,,,,,,,,0.934429,0.00480978,-0.327322,0.0322898,-0.0225871,-0.130631,0.111328,0.784661,0.0353997,-4.5158,-0.243081,0.100497,0.65403,0.935205,0.511196,0.327322,0.0452314,-0.0,0.930395,0.622788,0.0229406,-0.0229406,1.77684,-0.0839693,0.0655446,0.514913,0.32705,1.91272,0.655077,0.513749,-0.32705,0.07242,0.833932,-0.304734,-0.148616,0.513749,0.475938,0.00371681,0.0700738,0.256976
,,,,,,,,,,,,,,,,0.943784,0.00474723,-0.327535,0.0310446,-0.016517,-0.128736,0.111328,0.783186,0.0302735,-4.6163,-0.246222,0.100266,0.654449,0.935813,0.516335,0.327535,0.0387035,-0.0,0.931066,0.630575,0.0196698,-0.0196698,1.86568,-0.084102,0.0561994,0.520052,0.330324,1.87091,0.66162,0.514077,-0.330324,0.07242,0.843518,-0.311018,-0.149746,0.514077,0.47728,0.00371681,0.068535,0.261789
,,,,,,,,,,,,,,,,0.953145,0.00123478,-0.327715,0.0297591,-0.0313581,-0.121007,0.118286,0.775811,0.0251428,-4.56605,-0.249128,0.100534,0.654804,0.936328,0.521478,0.327715,0.0321696,-0.0,0.935094,0.638407,0.016396,-0.016396,1.72458,-0.0844723,0.0468457,0.525194,0.333601,1.81342,0.668166,0.514354,-0.333601,0.068799,0.85261,-0.296357,-0.149565,0.514354,0.47728,0.00371681,0.0670183,0.266582
,,,,,,,,,,,,,,,,0.96251,-0.00572765,-0.327863,0.0285431,-0.0283641,-0.120718,0.114807,0.775811,0.0200082,-4.63975,-0.252191,0.100244,0.655093,0.93675,0.526622,0.327863,0.0256309,-0.0,0.942478,0.646173,0.0131198,-0.0131198,1.72981,-0.0846871,0.037485,0.530339,0.336878,1.75594,0.674716,0.51458,-0.336878,0.10863,0.862266,-0.299498,-0.149418,0.51458,0.47728,0.00371681,0.0654731,0.271405
,,,,,,,,,,,,,,,,0.971879,0.00466958,-0.327977,0.0265554,-0.0316205,-0.123445,0.118286,0.778761,0.0148705,-4.6364,-0.25538,0.0995435,0.655316,0.937078,0.531769,0.327977,0.0190883,-0.0,0.932409,0.654712,0.00984154,-0.00984154,1.68277,-0.0847777,0.0281187,0.535486,0.340158,1.65664,0.681268,0.514755,-0.340158,0.115872,0.872336,-0.296357,-0.151988,0.514755,0.479966,0.00371681,0.0636372,0.276521
,,,,,,,,,,,,,,,,0.981251,-0.0011376,-0.328059,0.0253661,-0.0317025,-0.118862,0.114807,0.774336,0.00973057,-4.59955,-0.25827,0.0997727,0.655474,0.937313,0.536917,0.328059,0.0125428,-0.0,0.93845,0.662456,0.00656184,-0.00656184,1.78207,-0.0851676,0.0187481,0.540634,0.343438,1.57825,0.687822,0.514878,-0.343438,0.068799,0.881479,-0.296357,-0.147878,0.514878,0.475938,0.00371681,0.0621446,0.281293
,,,,,,,,,,,,,,,,0.990625,-0.000996988,-0.328109,0.0244213,-0.0286101,-0.124669,0.111328,0.780236,0.00458911,-4.7101,-0.261192,0.0999132,0.655567,0.937453,0.542066,0.328109,0.00599532,-0.0,0.93845,0.669956,0.00328117,-0.00328117,1.82387,-0.0855268,0.00937477,0.545783,0.346719,1.47373,0.694377,0.514949,-0.346719,0.112251,0.890712,-0.299498,-0.149843,0.514949,0.477952,0.00371681,0.0606526,0.286066
,,,,,,,,,,,,,,,,1.0,-0.0049778,-0.328125,0.023256,-0.0317681,-0.115792,0.114807,0.771386,-0.000553097,-4.6699,-0.264129,0.100055,0.655594,0.9375,0.547194,0.328125,-0.000553097,0.00147493,0.942478,0.677677,0.0,0.0,1.82387,-0.0858706,-8.88178e-16,0.550933,0.35,1.42147,0.700933,0.513494,-0.35,0.155703,0.899945,-0.296357,-0.149827,0.514969,0.477952,0.00373894,0.0593624,0.290638
,,,,,,,,,,,,,,,,1.00937,-0.00368211,-0.328109,0.022356,-0.0411765,-0.123205,0.121765,0.778761,-0.00569527,-4.70005,-0.266988,0.100246,0.655556,0.937453,0.552344,0.328109,-0.00710149,-0.0,0.941135,0.685133,-0.00328117,0.00328117,1.75594,-0.0862929,-0.00937477,0.556082,0.353281,1.34308,0.707489,0.514938,-0.353281,0.090525,0.909129,-0.286932,-0.151186,0.514938,0.479294,0.00373894,0.0578104,0.295471
,,,,,,,,,,,,,,,,1.01875,-0.00516529,-0.328059,0.0210571,-0.0233249,-0.111509,0.076538,0.766962,-0.0108367,-4.75365,-0.270114,0.0999638,0.655452,0.937313,0.557493,0.328059,-0.0136489,-0.0,0.942478,0.692987,-0.00656184,0.00656184,1.78729,-0.0864479,-0.0187481,0.561231,0.356562,1.29082,0.714044,0.514855,-0.356562,0.105009,0.918785,-0.304734,-0.147878,0.514855,0.475938,0.00373894,0.0564091,0.300153
,,,,,,,,,,,,,,,,1.02812,-0.00539962,-0.327977,0.0201994,-0.0358092,-0.111678,0.090454,0.766962,-0.0159765,-4.6967,-0.273004,0.0997802,0.655283,0.937078,0.56264,0.327977,-0.0201943,-0.0,0.942478,0.700398,-0.00984154,0.00984154,1.81865,-0.0868379,-0.0281187,0.566379,0.359842,1.36399,0.720598,0.514721,-0.359842,0.162945,0.928341,-0.292168,-0.147961,0.514721,0.475938,0.00373894,0.0550272,0.304815
,,,,,,,,,,,,,,,,1.03749,-0.00975533,-0.327863,0.0189856,-0.0325528,-0.101589,0.097412,0.756637,-0.0211139,-4.80725,-0.275895,0.0996642,0.655048,0.93675,0.567787,0.327863,-0.0267367,-0.0,0.946505,0.708164,-0.0131198,0.0131198,1.77684,-0.0872268,-0.037485,0.571526,0.363122,1.3065,0.727149,0.514536,-0.363122,0.061557,0.937826,-0.29531,-0.150089,0.514536,0.477952,0.00373894,0.0534128,0.309709
,,,,,,,,,,,,,,,,1.04686,-0.010177,-0.327715,0.0181674,-0.0344997,-0.0989389,0.10437,0.753687,-0.0262483,-4.82065,-0.278738,0.0999372,0.654748,0.936328,0.572931,0.327715,-0.0332751,-0.0,0.946505,0.715531,-0.016396,0.016396,1.71935,-0.0876616,-0.0468457,0.57667,0.366399,1.29082,0.733698,0.514299,-0.366399,0.101388,0.946918,-0.293215,-0.148223,0.514299,0.475938,0.00373894,0.0519683,0.314431
,,,,,,,,,,,,,,,,1.05622,-0.00934966,-0.327535,0.0175228,-0.0406025,-0.0904547,0.10437,0.744838,-0.0313787,-4.7704,-0.281754,0.0997926,0.654383,0.935813,0.578073,0.327535,-0.0398087,-0.0,0.945163,0.722721,-0.0196698,0.0196698,1.77161,-0.087922,-0.0561994,0.581812,0.369676,1.24901,0.740244,0.514011,-0.369676,0.184671,0.956424,-0.286932,-0.152431,0.514011,0.479966,0.00373894,0.0504013,0.319274
,,,,,,,,,,,,,,,,1.06557,-0.00928711,-0.327322,0.016653,-0.0320119,-0.0864607,0.10437,0.740413,-0.0365046,-4.8776,-0.284613,0.0996022,0.653952,0.935205,0.583211,0.327322,-0.0463362,-0.0,0.944492,0.730133,-0.0229406,0.0229406,1.87091,-0.0883374,-0.0655446,0.58695,0.37295,1.15495,0.746786,0.513672,-0.37295,0.112251,0.965969,-0.29531,-0.151973,0.513672,0.479294,0.00373894,0.049084,0.323866
,,,,,,,,,,,,,,,,1.07492,-0.0146882,-0.327076,0.0159335,-0.0349077,-0.0766322,0.10437,0.730088,-0.0416249,-4.8642,-0.287456,0.0994857,0.653456,0.934502,0.588346,0.327076,-0.0528569,-0.0,0.949191,0.737389,-0.026208,0.026208,1.8291,-0.0887663,-0.07488,0.592085,0.376222,1.10269,0.753323,0.513281,-0.376222,0.133977,0.975434,-0.292168,-0.148191,0.513281,0.475267,0.00373894,0.0475127,0.328709
,,,,,,,,,,,,,,,,1.08426,-0.0168262,-0.326797,0.0151865,-0.0398653,-0.0698187,0.111328,0.722714,-0.0467391,-4.9446,-0.290377,0.0993316,0.652895,0.933707,0.593477,0.326797,-0.0593697,-0.0,0.950533,0.744668,-0.0294714,0.0294714,1.73503,-0.089114,-0.0842041,0.597215,0.379491,1.09746,0.759855,0.512839,-0.379491,0.231744,0.98493,-0.286932,-0.147127,0.512839,0.473924,0.00373894,0.0459993,0.333492
,,,,,,,,,,,,,,,,1.09359,-0.015701,-0.326486,0.0138363,-0.0437431,-0.0660201,0.111328,0.718289,-0.0518463,-5.0384,-0.293393,0.0986052,0.652269,0.932818,0.598602,0.326486,-0.0658737,-0.0,0.948519,0.752544,-0.0327305,0.0327305,1.77684,-0.0893645,-0.0935156,0.602341,0.382758,1.0661,0.766381,0.512346,-0.382758,0.173808,0.994989,-0.282743,-0.14341,0.512346,0.469896,0.00373894,0.0442613,0.338497
,,,,,,,,,,,,,,,,1.10292,-0.0186965,-0.326143,0.0132538,-0.0517771,-0.0622866,0.111328,0.713864,-0.0569458,-5.0049,-0.296221,0.0984131,0.651578,0.931837,0.603723,0.326143,-0.0723678,-0.0,0.950533,0.759646,-0.0359846,0.0359846,1.86046,-0.0898003,-0.102813,0.607462,0.386021,1.0243,0.7729,0.511802,-0.386021,0.152082,1.0045,-0.274366,-0.143082,0.511802,0.469225,0.00373894,0.0428423,0.343179
,,,,,,,,,,,,,,,,1.11223,-0.0164146,-0.325767,0.012996,-0.0545426,-0.0527182,0.100891,0.70354,-0.0620368,-4.9982,-0.298891,0.0982108,0.650822,0.930762,0.608838,0.325767,-0.078851,-0.0,0.947177,0.766416,-0.0392333,0.0392333,1.71935,-0.0903895,-0.112095,0.612577,0.389281,1.00339,0.779412,0.511207,-0.389281,0.242607,1.01402,-0.271224,-0.142116,0.511207,0.467882,0.00373894,0.0413996,0.347881
,,,,,,,,,,,,,,,,1.12153,-0.0229521,-0.325358,0.0125754,-0.048898,-0.0491143,0.100891,0.699115,-0.0671185,-5.0719,-0.301593,0.0979066,0.650001,0.929595,0.613947,0.325358,-0.0853225,-0.0,0.952547,0.773341,-0.042476,0.042476,1.69322,-0.0909434,-0.12136,0.617686,0.392536,0.935454,0.785916,0.510561,-0.392536,0.112251,1.02363,-0.27646,-0.139839,0.510561,0.465197,0.00373894,0.0400334,0.352503
,,,,,,,,,,,,,,,,1.13082,-0.0188418,-0.324917,0.0121683,-0.0536931,-0.0382004,0.10437,0.687316,-0.0721901,-5.04845,-0.304216,0.0981542,0.649115,0.928335,0.619049,0.324917,-0.0917811,-0.0,0.947177,0.780243,-0.0457124,0.0457124,1.70368,-0.0915715,-0.130607,0.622788,0.395788,0.83616,0.792412,0.509865,-0.395788,0.246228,1.03267,-0.271224,-0.142965,0.509865,0.467882,0.00373894,0.0386228,0.357165
,,,,,,,,,,,,,,,,1.1401,-0.0215365,-0.324444,0.0118185,-0.0500782,-0.0332508,0.10437,0.681416,-0.0772509,-5.1255,-0.307122,0.0976134,0.648165,0.926983,0.624144,0.324444,-0.098226,-0.0,0.948519,0.78708,-0.0489419,0.0489419,1.71413,-0.0919124,-0.139834,0.627883,0.399034,0.715962,0.798898,0.509118,-0.399034,0.21726,1.04249,-0.274366,-0.136726,0.509118,0.46117,0.00373894,0.0372378,0.361797
,,,,,,,,,,,,,,,,1.14936,-0.0209671,-0.323938,0.0117465,-0.0474783,-0.0268905,0.111328,0.674041,-0.0823001,-5.12215,-0.309808,0.0973405,0.647151,0.925538,0.629232,0.323938,-0.104656,-0.0,0.946505,0.793628,-0.052164,0.052164,1.78729,-0.0924683,-0.14904,0.632971,0.402276,0.642798,0.805375,0.50832,-0.402276,0.141219,1.05202,-0.27646,-0.135217,0.50832,0.459156,0.00373894,0.0360896,0.366187
,,,,,,,,,,,,,,,,1.15861,-0.0251885,-0.323401,0.0116418,-0.049035,-0.0176447,0.114807,0.663717,-0.0873369,-5.10875,-0.312526,0.0974958,0.646072,0.924002,0.634288,0.323401,-0.11107,-0.0,0.949191,0.800199,-0.0553782,0.0553782,1.77684,-0.0929875,-0.158224,0.63805,0.405513,0.65325,0.811841,0.507472,-0.405513,0.282438,1.06111,-0.274366,-0.135755,0.507472,0.459156,0.00376106,0.0347649,0.370748
,,,,,,,,,,,,,,,,1.16784,-0.0241315,-0.322831,0.011504,-0.0400876,-0.00993786,0.114807,0.654867,-0.0923606,-5.19585,-0.315322,0.0971721,0.644929,0.922374,0.639359,0.322831,-0.117468,0.00147493,0.946505,0.806792,-0.0585841,0.0585841,1.72981,-0.0934227,-0.167383,0.64312,0.408744,0.648024,0.818296,0.505098,-0.408744,0.126735,1.07067,-0.282743,-0.130955,0.506573,0.453786,0.00376106,0.0334851,0.375259
,,,,,,,,,,,,,,,,1.17706,-0.0224946,-0.322229,0.0117084,-0.0447217,-0.0081946,0.10437,0.651917,-0.0973704,-5.1657,-0.318023,0.0973955,0.643723,0.920654,0.64442,0.322229,-0.123848,-0.0,0.943149,0.813031,-0.0617811,0.0617811,1.77161,-0.0939462,-0.176517,0.648181,0.41197,0.747318,0.824739,0.505625,-0.41197,0.293301,1.07966,-0.277507,-0.127529,0.505625,0.449758,0.00376106,0.0323807,0.379589
,,,,,,,,,,,,,,,,1.18625,-0.0202776,-0.321595,0.0119004,-0.0409464,0.00823421,0.097412,0.634218,-0.102365,-5.0853,-0.320945,0.097118,0.642452,0.918844,0.649471,0.321595,-0.130209,-0.0,0.939121,0.81927,-0.0649688,0.0649688,1.82387,-0.0942437,-0.185625,0.653232,0.415189,0.747318,0.83117,0.504626,-0.415189,0.206397,1.08914,-0.280649,-0.127491,0.504626,0.449087,0.00376106,0.0310183,0.38417
,,,,,,,,,,,,,,,,1.19543,-0.026207,-0.32093,0.0119245,-0.030856,0.0128001,0.10437,0.628319,-0.107345,-5.17575,-0.323725,0.0969527,0.641119,0.916942,0.654512,0.32093,-0.136551,-0.0,0.943149,0.825664,-0.0681466,0.0681466,1.8291,-0.094676,-0.194704,0.658273,0.418401,0.65325,0.837588,0.503577,-0.418401,0.21726,1.09848,-0.290074,-0.126143,0.503577,0.447073,0.00376106,0.029861,0.38854
,,,,,,,,,,,,,,,,1.20459,-0.0241716,-0.320232,0.0123774,-0.0364419,0.0187776,0.107849,0.620944,-0.112309,-5.0987,-0.3266,0.0965364,0.639721,0.91495,0.659542,0.320232,-0.142872,-0.0,0.939121,0.831615,-0.071314,0.071314,1.76639,-0.0950073,-0.203754,0.663304,0.421607,0.648024,0.843992,0.502479,-0.421607,0.264333,1.10806,-0.283791,-0.125498,0.502479,0.44573,0.00376106,0.0285256,0.393082
,,,,,,,,,,,,,,,,1.21373,-0.0235692,-0.319503,0.0125727,-0.030477,0.0350165,0.107849,0.603245,-0.117255,-5.10205,-0.329584,0.0965831,0.638261,0.912867,0.664562,0.319503,-0.149171,-0.0,0.936436,0.83781,-0.0744707,0.0744707,1.8291,-0.0952215,-0.212773,0.668323,0.424806,0.501696,0.850382,0.501331,-0.424806,0.152082,1.11715,-0.289027,-0.128241,0.501331,0.447744,0.00376106,0.0273442,0.397462
,,,,,,,,,,,,,,,,1.22285,-0.0257419,-0.318743,0.0130628,-0.0171501,0.021694,0.107849,0.615044,-0.122184,-5.18915,-0.332553,0.0962561,0.636738,0.910694,0.669569,0.318743,-0.155448,-0.0,0.936436,0.843695,-0.077616,0.077616,1.95452,-0.095444,-0.22176,0.67333,0.427997,0.454662,0.856757,0.500134,-0.427997,0.315027,1.12659,-0.301593,-0.118932,0.500134,0.437675,0.00376106,0.026256,0.401741
,,,,,,,,,,,,,,,,1.23195,-0.0246479,-0.317951,0.0134267,-0.0215943,0.0333825,0.107849,0.60177,-0.127094,-5.06185,-0.335491,0.0960176,0.635152,0.908432,0.674564,0.317951,-0.161701,-0.0,0.93308,0.84969,-0.0807495,0.0807495,1.89181,-0.0956901,-0.230713,0.678325,0.431181,0.381498,0.863117,0.498888,-0.431181,0.166566,1.13593,-0.296357,-0.119724,0.498888,0.437675,0.00376106,0.0250494,0.406131
