wrench_my.txt,proportionalf_3.txt,wrench_fz.txt,wrench_mx.txt,integralf_3.txt,integralf_4.txt,proportionalf_1.txt,wrench_fy.txt,proportionalf_5.txt,proportionalf_4.txt,wrench_mz.txt,integralf_1.txt,integralf_2.txt,wrench_fx.txt,proportionalf_2.txt,integralf_5.txt,posd1.txt,error_pos_3.txt,error_vel_2.txt,veld4.txt,posa4.txt,veld2.txt,accd5.txt,veld1.txt,posa1.txt,posd4.txt,veld5.txt,posa3.txt,error_pos_1.txt,posa2.txt,error_vel_1.txt,error_vel_4.txt,error_pos_2.txt,veld3.txt,trq1.txt,trq2.txt,vela1.txt,posa5.txt,error_pos_4.txt,posd5.txt,accd3.txt,error_pos_5.txt,accd4.txt,error_vel_5.txt,vela5.txt,vela4.txt,posd3.txt,accd2.txt,vela2.txt,posd2.txt,error_vel_3.txt,vela3.txt,accd1.txt,trq4.txt,trq5.txt,trq3.txt
,,,,,,,,,,,,,,,,2.99659,-0.079481,-0.156129,0.0338438,1.93458,0.0338438,-0.0913781,0.0498217,2.9804,1.99768,0.00964547,-2.47755,0.0161857,1.95463,-0.035431,-0.180021,0.0430492,-0.04332,1.08701,-0.961584,0.0852526,4.42478e-05,0.0631043,0.56934,0.4104,0.569296,-0.320625,0.00964547,-0.0,0.213864,-2.55704,-0.320625,0.189972,1.99768,-0.0422728,-0.0010472,-0.472084,-0.593844,0.031311,-5.1121
,,,,,,,,,,,,,,,,2.99707,-0.079894,-0.158596,0.030705,1.93675,0.030705,-0.0875212,0.0452002,2.98108,1.99801,0.00875091,-2.47755,0.0159861,1.95655,-0.0279694,-0.186109,0.0414587,-0.0393023,1.0243,-1.28037,0.0731696,4.42478e-05,0.0612588,0.569432,0.393078,0.569388,-0.307092,0.00875091,-0.0,0.216814,-2.55745,-0.307092,0.189301,1.99801,-0.0393023,0.0,-0.452145,-0.626433,0.020874,-5.1255
,,,,,,,,,,,,,,,,2.9975,-0.0802676,-0.161598,0.0277028,1.93889,0.0277028,-0.0835917,0.04078,2.98171,1.9983,0.00789529,-2.47755,0.0157814,1.95846,-0.0223204,-0.184687,0.0398375,-0.0354595,1.28037,-1.37444,0.0631004,4.42478e-05,0.0594047,0.569515,0.37543,0.569471,-0.293304,0.00789529,-0.0,0.212389,-2.55782,-0.293304,0.189301,1.9983,-0.0354595,0.0,-0.431833,-0.496077,-0.006958,-5.1255
,,,,,,,,,,,,,,,,2.99788,-0.0806037,-0.167146,0.0248397,1.941,0.0248397,-0.0795893,0.0365648,2.98232,1.99856,0.00707932,-2.47755,0.0155638,1.96036,-0.0265356,-0.191974,0.038197,-0.0317948,1.49986,-1.4476,0.0631004,4.42478e-05,0.0575655,0.56959,0.357454,0.569546,-0.279261,0.00707932,-0.0,0.216814,-2.55816,-0.279261,0.191986,1.99856,-0.0317948,0.0,-0.411145,-0.39831,0.027832,-5.1121
,,,,,,,,,,,,,,,,2.99823,-0.0809041,-0.17121,0.0221184,1.94308,0.0221184,-0.0755136,0.0325584,2.98296,1.9988,0.00630374,-2.47755,0.0152648,1.9623,-0.0298707,-0.190271,0.0364984,-0.0283116,1.20721,-1.5887,0.0624291,4.42478e-05,0.0557205,0.569657,0.339149,0.569612,-0.26496,0.00630374,-0.0,0.212389,-2.55846,-0.26496,0.193329,1.9988,-0.0283116,0.0,-0.390079,-0.47073,0.048706,-5.1054
,,,,,,,,,,,,,,,,2.99853,-0.0811706,-0.173787,0.0195414,1.9448,0.0195414,-0.0713641,0.0287645,2.98356,1.999,0.00556929,-2.47755,0.0149772,1.96425,-0.0343359,-0.166299,0.0347531,-0.025013,1.0661,-1.8291,0.0631004,4.42478e-05,0.054203,0.569716,0.320512,0.569672,-0.2504,0.00556929,-0.0,0.185841,-2.55872,-0.2504,0.193329,1.999,-0.025013,0.0,-0.368634,-0.586602,0.027832,-5.09535
,,,,,,,,,,,,,,,,2.9988,-0.081405,-0.176889,0.0171113,1.94677,0.0171113,-0.0671405,0.025187,2.98405,1.99919,0.00487671,-2.47755,0.0147534,1.96614,-0.0291868,-0.16578,0.0330433,-0.0219024,1.09746,-2.00156,0.0543737,4.42478e-05,0.0524171,0.569768,0.301543,0.569724,-0.235581,0.00487671,-0.0,0.182891,-2.55896,-0.235581,0.194,1.99919,-0.0219024,0.0,-0.346807,-0.644538,-0.013916,-5.092
,,,,,,,,,,,,,,,,2.99904,-0.0816093,-0.179169,0.0148306,1.94863,0.0148306,-0.0628423,0.0218296,2.98446,1.99935,0.00422673,-2.47755,0.0145754,1.96809,-0.0224749,-0.17691,0.0312595,-0.0189832,1.18108,-2.17402,0.0443045,4.42478e-05,0.0507183,0.569814,0.282239,0.569769,-0.220499,0.00422673,-0.0,0.19174,-2.55916,-0.220499,0.194,1.99935,-0.0189832,0.0,-0.324596,-0.626433,-0.0,-5.06855
,,,,,,,,,,,,,,,,2.99924,-0.0817853,-0.179284,0.0127021,1.95044,0.0127021,-0.0584692,0.0186963,2.98482,1.99948,0.00362011,-2.47755,0.0144255,1.97,-0.0195667,-0.174613,0.0294839,-0.0162588,1.56257,-2.37783,0.038263,4.42478e-05,0.0490417,0.569853,0.262598,0.569809,-0.205155,0.00362011,-0.0,0.187316,-2.55934,-0.205155,0.191986,1.99948,-0.0162588,0.0,-0.302,-0.492456,0.027832,-5.06855
,,,,,,,,,,,,,,,,2.99941,-0.0819351,-0.1826,0.0107284,1.95226,0.0107284,-0.0540207,0.0157909,2.98524,1.9996,0.0030576,-2.47755,0.0141748,1.97186,-0.0224721,-0.176587,0.0277381,-0.0137324,1.51031,-2.44054,0.038263,4.42478e-05,0.0473446,0.569886,0.242619,0.569842,-0.189546,0.0030576,-0.0,0.187316,-2.55949,-0.189546,0.193329,1.9996,-0.0137324,0.0,-0.279016,-0.405552,0.013916,-5.06855
,,,,,,,,,,,,,,,,2.99956,-0.0820606,-0.186431,0.00891211,1.95398,0.00891211,-0.0494965,0.0131173,2.9856,1.9997,0.00253995,-2.47755,0.0139566,1.97385,-0.0278308,-0.165129,0.0258525,-0.0114075,1.46851,-2.69139,0.0409481,4.42478e-05,0.045717,0.569914,0.2223,0.56987,-0.173672,0.00253995,-0.0,0.174041,-2.55961,-0.173672,0.195343,1.9997,-0.0114075,0.0,-0.255641,-0.47073,-0.017395,-5.0719
,,,,,,,,,,,,,,,,2.99968,-0.0821639,-0.186073,0.00725588,1.95546,0.00725588,-0.0448961,0.0106794,2.98596,1.99978,0.00206792,-2.47755,0.0137129,1.97579,-0.0242272,-0.152036,0.0239899,-0.00928752,1.17062,-2.77501,0.0349066,4.42478e-05,0.0443154,0.569937,0.201639,0.569893,-0.15753,0.00206792,-0.0,0.159292,-2.55972,-0.15753,0.193329,1.99978,-0.00928752,0.0,-0.231875,-0.572118,0.045227,-5.0652
,,,,,,,,,,,,,,,,2.99977,-0.0822471,-0.190252,0.0057624,1.95704,0.0057624,-0.0402192,0.00848111,2.98625,1.99984,0.00164228,-2.47755,0.0135165,1.97769,-0.0257542,-0.146155,0.0221518,-0.00737587,1.26469,-2.90566,0.0342353,4.42478e-05,0.0428095,0.569956,0.180634,0.569912,-0.14112,0.00164228,-0.0,0.151917,-2.5598,-0.14112,0.196014,1.99984,-0.00737587,0.0,-0.207715,-0.611949,0.024353,-5.06185
