proportionalf_3.txt,integralf_3.txt,proportionalf_1.txt,integralf_1.txt,wrench_fz.txt,integralf_2.txt,integralf_4.txt,wrench_fx.txt,proportionalf_5.txt,integralf_5.txt,proportionalf_2.txt,wrench_fy.txt,proportionalf_4.txt,wrench_my.txt,wrench_mz.txt,wrench_mx.txt,posa1.txt,error_vel_5.txt,trq1.txt,accd3.txt,error_vel_2.txt,veld4.txt,vela4.txt,posd4.txt,error_vel_1.txt,vela5.txt,veld1.txt,error_pos_2.txt,vela2.txt,accd4.txt,error_pos_1.txt,posd2.txt,accd5.txt,accd2.txt,trq3.txt,error_pos_4.txt,posa2.txt,posa5.txt,accd1.txt,posa3.txt,trq5.txt,vela3.txt,posd5.txt,veld2.txt,veld5.txt,error_pos_3.txt,posd1.txt,posa4.txt,posd3.txt,trq2.txt,vela1.txt,error_pos_5.txt,trq4.txt,veld3.txt,error_vel_4.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,-0.0,0.0237392,-0.0,-0.2223,0.0060128,0.00891211,0.00147493,0.000300898,0.00222803,-0.0,0.00222803,9.47741e-05,0.00067128,0.173672,7.52246e-05,0.000225674,0.433868,0.130254,-0.603,-8.83605e-06,0.0001309,0.000199115,0.043418,-0.00889071,-0.897582,-0.141372,0.000921324,0.00668408,0.0237392,0.00850556,7.52246e-05,0.000309734,-0.00038515,0.350142,-0.0,0.000722209,0.039831,-0.0114075,0.00743718,0.129964
,,,,,,,,,,,,,,,,-0.0,0.0268018,-0.0,-0.242619,0.00737504,0.0107284,0.00442478,0.000398969,0.00268211,0.00147493,0.00268211,0.000158258,0.00067128,0.189546,9.97422e-05,0.000299227,0.473525,0.14216,-0.74035,6.71104e-05,0.000140969,0.000199115,0.0473866,-0.0102102,-0.876708,-0.139277,0.00118107,0.00804632,0.0282768,0.0096995,9.97422e-05,0.000331858,-0.00051068,0.381498,-0.0,0.000981959,0.03621,-0.0137324,0.00630364,0.125545
,,,,,,,,,,,,,,,,-0.0,0.0317326,-0.0,-0.262598,0.00885533,0.0127022,0.00147493,0.000515992,0.00317554,0.00147493,0.00317554,0.000235956,0.00067128,0.205155,0.000128998,0.000386994,0.512518,0.153866,-0.92125,0.000139885,0.000151038,0.000221239,0.0512887,-0.0113097,-0.852355,-0.120428,0.00148817,0.00952661,0.0332075,0.0106493,0.000128998,0.000376106,-0.000660469,0.412854,-0.0,0.00126693,0.039831,-0.0162588,0.0112272,0.104169
,,,,,,,,,,,,,,,,-0.0,0.03705,-0.0,-0.282239,0.011123,0.0148306,0.00442478,0.000653528,0.00370766,0.00147493,0.00370766,0.000329038,-0.0,0.220499,0.000163382,0.000490146,0.550851,0.165374,-1.13565,0.000233174,0.000161107,0.000243363,0.0551248,-0.0122522,-0.841918,-0.101578,0.00184651,0.011123,0.0385249,0.0114157,0.000163382,0.000420354,-0.000836515,0.428532,-0.0,0.00160315,0.039831,-0.0189832,0.0104059,0.0825949
,,,,,,,,,,,,,,,,-0.0,0.0427474,-0.0,-0.301543,0.0121622,0.0171113,0.0058997,0.000813112,0.00427781,0.00147493,0.00427781,0.000448726,0.00067128,0.235581,0.000203278,0.000609834,0.588527,0.176685,-1.4003,0.00034851,0.000161107,0.000265487,0.0588952,-0.0126763,-0.817565,-0.0575959,0.00225994,0.0128334,0.0442224,0.0116355,0.000203278,0.000464602,-0.00104078,0.47034,-0.0,0.00199445,0.050694,-0.0219024,0.0112116,0.0356935
,,,,,,,,,,,,,,,,-0.0,0.0502933,-0.0,-0.320513,0.0139848,0.0195414,0.00442478,0.000996251,0.00488535,-0.0,0.00488535,0.000576012,0.00067128,0.2504,0.000249063,0.000747188,0.625549,0.1878,-1.65155,0.000487402,0.000171177,0.000287611,0.0626001,-0.0125978,-0.796691,0.0,0.00273221,0.014656,0.0502933,0.0113226,0.000249063,0.00050885,-0.0012752,0.517374,-0.0,0.00244459,0.050694,-0.025013,0.0151166,-0.025013
,,,,,,,,,,,,,,,,-0.0,0.0552562,-0.0,-0.339149,0.0159175,0.0221184,-0.0,0.00120443,0.0055296,0.00147493,0.0055296,0.000722076,0.00067128,0.26496,0.000301107,0.000903322,0.661921,0.19872,-1.73865,0.000673455,0.000181246,0.000287611,0.06624,-0.0125035,-0.782775,0.00942478,0.00326702,0.0165888,0.0567312,0.0109619,0.000301107,0.000530973,-0.00154167,0.54873,-0.0,0.00297941,0.054315,-0.0283116,0.0221184,-0.0377363
,,,,,,,,,,,,,,,,-0.0,0.0620546,-0.0,-0.357454,0.0179585,0.0248397,0.00147493,0.0014391,0.00620993,0.00147493,0.00620993,0.00088801,0.00067128,0.279261,0.000359775,0.00107933,0.697647,0.209446,-1.7554,0.000908127,0.000191315,0.000309734,0.0698152,-0.0124721,-0.761901,0.00628319,0.00386803,0.0186298,0.0635295,0.0106301,0.000359775,0.000530973,-0.00184205,0.57486,-0.0,0.0035583,0.054315,-0.0317948,0.0233648,-0.038078
,,,,,,,,,,,,,,,,-0.0,0.069207,-0.0,-0.37543,0.0201058,0.0277028,0.00147493,0.0017017,0.00692569,0.00147493,0.00692569,0.00107489,0.00067128,0.293304,0.000425424,0.00127627,0.73273,0.219978,-1.7554,0.00112647,0.000201384,0.000331858,0.0733261,-0.0124721,-0.744506,0.0,0.0045388,0.0207771,0.070682,0.010294,0.000425424,0.000575221,-0.00217817,0.595764,-0.0,0.00420694,0.057936,-0.0354595,0.0262278,-0.0354595
,,,,,,,,,,,,,,,,-0.0,0.078182,-0.0,-0.393078,0.0223574,0.030705,0.00442478,0.00199362,0.00767624,-0.0,0.00767624,0.00128376,0.00067128,0.307092,0.000498405,0.00149521,0.767173,0.230319,-1.7554,0.00139627,0.000211453,0.000331858,0.076773,-0.0124721,-0.723632,0.0,0.00528283,0.0230287,0.078182,0.00992029,0.000498405,0.000597345,-0.00255183,0.621894,-0.0,0.00495097,0.065178,-0.0393023,0.0262802,-0.0393023
,,,,,,,,,,,,,,,,-0.0,0.0845484,-0.0,-0.4104,0.0247115,0.0338437,0.00147493,0.00231625,0.00846094,0.00147493,0.00846094,0.00151566,0.00067128,0.320625,0.000579062,0.00173719,0.800981,0.240469,-1.7554,0.00169678,0.000221523,0.000353982,0.0801562,-0.0124721,-0.709716,0.0,0.00610357,0.0253828,0.0860233,0.00950732,0.000579062,0.000619469,-0.0029648,0.668928,-0.0,0.00574959,0.065178,-0.04332,0.0323688,-0.04332
,,,,,,,,,,,,,,,,-0.0,0.0927246,-0.0,-0.427398,0.0271662,0.0371166,0.00147493,0.00267094,0.00927915,0.00147493,0.00927915,0.00176154,0.00067128,0.333905,0.000667735,0.00200321,0.834156,0.250429,-1.7554,0.00200722,0.000241661,0.000376106,0.0834762,-0.0124721,-0.6958,0.0,0.00700441,0.0278375,0.0941995,0.00905332,0.000667735,0.000663717,-0.0034188,0.689832,-0.0,0.0066283,0.076041,-0.0475093,0.0356417,-0.0475093
,,,,,,,,,,,,,,,,-0.0,0.102704,-0.0,-0.444074,0.0283769,0.040521,0.0058997,0.00305902,0.0101303,-0.0,0.0101303,0.00203247,0.00201384,0.346933,0.000764755,0.00229427,0.866702,0.2602,-1.7554,0.00232893,0.000261799,0.00039823,0.0867333,-0.0124721,-0.681884,0.0,0.00798866,0.0303908,0.102704,0.00855658,0.000764755,0.000730088,-0.00391555,0.726414,-0.0,0.00759043,0.090525,-0.0518669,0.0346213,-0.0518669
,,,,,,,,,,,,,,,,-0.0,0.110057,-0.0,-0.46043,0.031027,0.0440544,0.0058997,0.00348179,0.0110136,0.00147493,0.0110136,0.00232941,0.00201384,0.359711,0.000870448,0.00261134,0.898623,0.269783,-1.7554,0.00266321,0.000281938,0.00039823,0.0899278,-0.0124721,-0.66101,0.0,0.00905957,0.0330408,0.111531,0.00801543,0.000870448,0.000818584,-0.00445669,0.778674,-0.0,0.00866134,0.101388,-0.0563897,0.0381547,-0.0563897
,,,,,,,,,,,,,,,,-0.0,0.1192,-0.0,-0.476467,0.0331007,0.0477144,0.0103245,0.00394053,0.0119286,0.00147493,0.0119286,0.00265332,0.00268512,0.37224,0.000985133,0.0029554,0.929922,0.27918,-1.76545,0.00301133,0.000302076,0.000420354,0.09306,-0.0124721,-0.640136,0.0,0.0102203,0.0357858,0.120675,0.00742824,0.000985133,0.000929203,-0.00504388,0.804804,-0.0,0.00979999,0.112251,-0.0610744,0.0373899,-0.0610744
