wrench_fy.txt,wrench_fz.txt,proportionalf_3.txt,wrench_mz.txt,integralf_3.txt,wrench_fx.txt,integralf_4.txt,integralf_2.txt,proportionalf_4.txt,wrench_mx.txt,integralf_1.txt,proportionalf_5.txt,proportionalf_1.txt,wrench_my.txt,integralf_5.txt,proportionalf_2.txt,error_vel_4.txt,posd2.txt,posa2.txt,accd1.txt,vela2.txt,vela5.txt,error_vel_1.txt,error_vel_2.txt,veld2.txt,error_pos_5.txt,veld5.txt,posa1.txt,accd4.txt,vela3.txt,posd1.txt,posd4.txt,error_pos_2.txt,accd5.txt,trq5.txt,trq4.txt,trq1.txt,accd3.txt,vela4.txt,error_pos_1.txt,trq3.txt,accd2.txt,error_pos_4.txt,posd3.txt,vela1.txt,posa4.txt,veld4.txt,posa5.txt,error_vel_3.txt,trq2.txt,posa3.txt,error_pos_3.txt,veld1.txt,posd5.txt,error_vel_5.txt,veld3.txt,estimated_trqs_3.txt,estimated_trqs_2.txt,estimated_trqs_1.txt,estimated_trqs_4.txt,estimated_trqs_5.txt
,,,,,,,,,,,,,,,,0.0,0.0,-0.0,0.0,-0.0,0.00147493,0.0,0.0,0.0,-2.21239e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.09588,-0.018105,-0.005226,0.0,-0.0,0.0,-0.03015,0.0,0.0,0.0,-0.0,-0.0,0.0,4.42478e-05,0.0,-0.0,0.0,0.0,0.0,2.21239e-05,-0.00147493,0.0,-1.95191,0.951075,0.00472104,0.272197,-0.00210661
,,,,,,,,,,,,,,,,6.52973e-05,1.08965e-07,1.00692e-05,0.0139572,0.00067128,-0.0,6.99614e-05,-0.000638632,3.26486e-05,-2.21067e-05,5.15839e-06,-0.0,0.0130267,-0.00314159,2.33497e-07,2.17931e-07,-9.96024e-06,0.00102909,-1.06805,0.021726,-0.005226,-0.0158182,-0.0,2.33497e-07,-0.2345,0.00651336,2.17931e-07,-2.6463e-07,-0.0,-0.0,6.52973e-05,4.42478e-05,0.0030623,-0.05226,-4.71239e-05,4.68593e-05,6.99614e-05,2.21411e-05,5.15839e-06,-7.92896e-05,-1.72413,1.21131,0.0180517,0.418686,-0.0017717
,,,,,,,,,,,,,,,,-0.00121504,8.68451e-07,4.02768e-05,0.0277045,0.00268512,0.00147493,0.000278445,-0.00255518,0.000129941,-4.41106e-05,2.05302e-05,-0.0,0.0258576,-0.00314159,1.86097e-06,1.7369e-06,-3.94084e-05,0.00204271,-1.03674,0.043452,-0.005226,-0.0313985,0.00147493,1.86097e-06,-0.3417,0.0129288,-2.0387e-05,-2.10909e-06,-0.0,2.21239e-05,0.000259882,6.63717e-05,0.00282602,-0.005226,-0.000204204,0.000202094,0.000278445,2.22611e-05,-0.0014544,-0.00031557,-2.59086,0.506146,-0.00641184,-0.0222263,-0.000894471
,,,,,,,,,,,,,,,,-0.000893127,2.92e-06,7.04845e-05,0.041243,0.00268512,0.00147493,0.000623356,-0.00239422,0.000290899,-6.59103e-05,4.59612e-05,-0.0,0.0384935,-0.0188496,6.25715e-06,5.84e-06,-6.75644e-05,0.00304093,-1.00543,0.050694,-0.005226,-0.0467421,0.00147493,6.25715e-06,-0.40535,0.0192467,-3.84078e-05,-7.09143e-06,-0.0,4.42478e-05,0.000581799,8.84956e-05,0.0181431,0.099294,-0.000549779,0.000542687,0.000623356,2.25852e-05,-0.00142896,-0.00070647,-2.52639,0.599464,-0.00886155,0.0499072,-0.0011137
,,,,,,,,,,,,,,,,-0.00339567,6.89542e-06,0.000100692,0.0545737,0.00268512,0.00147493,0.00110261,-0.00217057,0.000514552,-6.52822e-05,8.12977e-05,-0.0,0.0509355,-0.0345575,1.47759e-05,1.37908e-05,-9.37967e-05,0.00402383,-0.991515,0.050694,-0.005226,-0.0618503,0.00442478,1.47759e-05,-0.35175,0.0254677,-7.47047e-05,-1.6746e-05,-0.0,8.84956e-05,0.0010291,8.84956e-05,0.0333079,0.135876,-0.00125664,0.00123989,0.00110261,2.32133e-05,-0.00139363,-0.00124963,-3.63306,-0.198411,-0.0127342,-0.525918,0.000101982
,,,,,,,,,,,,,,,,0.00012494,1.34168e-05,0.00012083,0.0676978,0.00268512,-0.0,0.00171414,-0.00188519,0.000799933,-8.63758e-05,0.000126387,-0.0,0.0631846,-0.0701622,2.87503e-05,2.68336e-05,-0.000107414,0.00499149,-0.967162,0.054315,-0.0,-0.0767241,0.00147493,2.87503e-05,-0.36515,0.0315923,-8.37858e-05,-3.25837e-05,-0.0,0.000110619,0.00159987,0.000110619,0.0682195,0.193362,-0.00215199,0.00211941,0.00171414,2.42437e-05,0.000126387,-0.00194269,-3.90847,-0.502012,-0.0423156,-0.652347,0.00128703
,,,,,,,,,,,,,,,,0.00081723,2.30966e-05,0.00012083,0.0806161,-0.0,0.00147493,0.00245588,0.00114608,0.00114608,-0.00010697,0.000181077,-0.0,0.0752417,-0.111003,4.94928e-05,4.61933e-05,-9.77339e-05,0.00594398,-0.93933,0.047073,-0.0,-0.0913649,0.00147493,4.94928e-05,-0.45895,0.0376208,-8.65501e-05,-5.60918e-05,-0.0,0.000132743,0.00229216,0.000132743,0.10822,0.229944,-0.00325155,0.00319546,0.00245588,2.57731e-05,-0.00129385,-0.00278333,-2.45129,0.691882,-0.00250962,0.0957736,-0.00126456
,,,,,,,,,,,,,,,,-0.00132072,3.65377e-05,0.0001309,0.0933298,0.00067128,0.00147493,0.00332578,0.000880751,0.00155203,-0.000126971,0.000245216,-0.0,0.0871078,-0.125664,7.82951e-05,7.30755e-05,-9.4362e-05,0.00688139,-0.921935,0.043452,-0.0,-0.105774,0.00442478,7.82951e-05,-0.53935,0.0435539,-0.000103916,-8.87345e-05,-0.0,0.000176991,0.00310406,0.000154867,0.121894,0.276978,-0.00461814,0.00452941,0.00332578,2.78967e-05,-0.00122971,-0.00376922,-1.43407,1.13135,0.000115109,0.434199,-0.00210157
,,,,,,,,,,,,,,,,0.00255875,5.43334e-05,0.0001309,0.10584,-0.0,0.00147493,0.0043218,0.00201684,0.00201684,-0.000146283,0.000318655,-0.0,0.098784,-0.116239,0.000116429,0.000108667,-7.65663e-05,0.00780379,-0.901061,0.043452,-0.0,-0.119952,0.00147493,0.000116429,-0.6097,0.049392,-0.000112572,-0.000131953,-0.0,0.000221239,0.00403368,0.000176991,0.111341,0.308334,-0.00579624,0.00566429,0.0043218,3.07084e-05,-0.00115627,-0.00489804,-2.24228,0.823096,-0.00090728,0.188779,-0.00152334
,,,,,,,,,,,,,,,,0.000654335,7.70676e-05,0.000140969,0.118148,0.00067128,0.00147493,0.00544191,0.00186828,0.00253956,-0.000142691,0.000401242,-0.0,0.110271,-0.126711,0.000165145,0.000154135,-6.39013e-05,0.00871125,-0.880187,0.039831,-0.0,-0.133901,0.00442478,0.000165145,-0.64655,0.0551356,-8.92277e-05,-0.000187164,-0.0,0.000243363,0.00507911,0.000176991,0.120543,0.33969,-0.00703717,0.00685,0.00544191,3.43003e-05,-0.00107368,-0.00616749,-1.83105,0.936662,-0.00679328,0.303113,-0.00216603
,,,,,,,,,,,,,,,,0.0018137,0.000105314,0.000151038,0.130254,-0.0,-0.0,0.00668408,0.00311924,0.00311924,-0.000160352,0.00049283,-0.0,0.12157,-0.126711,0.000225674,0.000210629,-4.57237e-05,0.00960387,-0.862792,0.039831,-0.0,-0.147621,0.00442478,0.000225674,-0.7035,0.0607852,-7.69817e-05,-0.000255764,-0.0,0.000287611,0.00623848,0.000199115,0.119136,0.36582,-0.00826239,0.00800663,0.00668408,3.87633e-05,0.00049283,-0.00757529,-1.69784,1.05951,0.0104265,0.342749,-0.0015102
,,,,,,,,,,,,,,,,0.00603497,0.000139639,0.000151038,0.14216,0.00067128,0.00147493,0.00804632,0.00308367,0.00375495,-0.000177052,0.00059327,-0.0,0.132682,-0.123569,0.000299227,0.000279278,-1.1399e-05,0.0104817,-0.83496,0.043452,-0.0,-0.161114,0.00147493,0.000299227,-0.73365,0.0663412,-3.04563e-05,-0.000339123,-0.0,0.000309734,0.0075099,0.000221239,0.11445,0.407628,-0.00944049,0.00910136,0.00804632,4.41864e-05,-0.000881656,-0.00911916,-1.49845,1.19287,0.00290659,0.462727,-0.0022337
,,,,,,,,,,,,,,,,0.00741658,0.000180597,0.000161107,0.153866,0.00067128,0.00147493,0.00952661,0.00377447,0.00444575,-0.000192705,0.000702415,-0.0,0.143609,-0.117286,0.000386994,0.000361194,1.94897e-05,0.0113449,-0.824523,0.039831,-0.0,-0.174382,0.00147493,0.000386994,-0.80735,0.0718043,7.21185e-06,-0.000438593,-0.0,0.000353982,0.00889151,0.000243363,0.106489,0.428532,-0.0104772,0.0100386,0.00952661,5.06577e-05,-0.000772511,-0.0107968,-0.216958,2.00817,0.00652587,1.06068,-0.00386362
,,,,,,,,,,,,,,,,0.00595667,0.000228735,0.000171177,0.165374,-0.0,0.00147493,0.011123,0.00519072,0.00519072,-0.000207223,0.000820119,-0.0,0.15435,-0.0858702,0.000490146,0.000457469,5.75582e-05,0.0121934,-0.796691,0.039831,-0.0,-0.187424,0.00442478,0.000490146,-1.1658,0.0771748,5.92393e-05,-0.000555499,-0.0,0.00039823,0.0103814,0.000265487,0.0732642,0.454662,-0.0113883,0.0108328,0.011123,5.82633e-05,-0.000654807,-0.012606,1.08912,2.81924,0.0384207,1.57504,-0.00526023
,,,,,,,,,,,,,,,,0.010503,0.000284589,0.000171177,0.176685,0.00067128,0.00147493,0.0128334,0.00531766,0.00598894,-0.000220522,0.000946234,-0.0,0.164906,-0.0261799,0.000609834,0.000569178,0.000113413,0.0130274,-0.789733,0.039831,-0.0,-0.200244,0.00147493,0.000609834,-1.5678,0.0824532,0.000148824,-0.000691145,-0.0,0.000420354,0.0119779,0.000287611,0.0116354,0.49647,-0.0116239,0.0109327,0.0128334,6.70881e-05,-0.000528692,-0.0145446,0.101837,2.2041,0.0193513,1.17047,-0.00416341
,,,,,,,,,,,,,,,,0.012204,0.000348688,0.000181246,0.1878,0.00067128,0.00147493,0.014656,0.0061682,0.00683948,-0.000232519,0.00108062,-0.0,0.17528,0.0125664,0.000747188,0.000697376,0.000167442,0.0138469,-0.761901,0.039831,-0.0,-0.21284,0.00147493,0.000747188,-1.7152,0.0876401,0.000254898,-0.000846814,-0.0,0.000442478,0.013679,0.000309734,-0.0291765,0.512148,-0.0114825,0.0106357,0.014656,7.72155e-05,-0.000394308,-0.0166102,-1.8584,0.894794,-0.00517991,0.270521,-0.00168477
,,,,,,,,,,,,,,,,0.0154829,0.00042155,0.000181246,0.19872,-0.0,0.00147493,0.0165888,0.00774144,0.00774144,-0.000243131,0.00122312,-0.0,0.185472,0.0125664,0.000903322,0.0008431,0.000240304,0.014652,-0.747985,0.039831,-0.0,-0.225216,-0.0,0.000903322,-1.75875,0.092736,0.000400622,-0.00102376,-0.0,0.000442478,0.0154829,0.000331858,-0.031367,0.538278,-0.011404,0.0103802,0.0165888,8.87275e-05,-0.000251802,-0.0188006,-2.31965,0.748924,-0.000556304,0.134425,-0.00137805
,,,,,,,,,,,,,,,,0.0159129,0.000503685,0.000191315,0.209446,0.00067128,0.00147493,0.0186298,0.00802262,0.0086939,-0.000252278,0.00137361,-0.0,0.195483,0.0010472,0.00107933,0.00100737,0.00031237,0.0154428,-0.73059,0.039831,-0.0,-0.237372,0.00147493,0.00107933,-1.7554,0.0977413,0.000542768,-0.00122324,-0.0,0.000464602,0.0173878,0.000353982,-0.022161,0.559182,-0.0113883,0.010165,0.0186298,0.000101705,-0.000101316,-0.0211138,-1.81548,1.08638,0.0122325,0.347446,-0.00196635
,,,,,,,,,,,,,,,,0.017917,0.000595593,0.000211453,0.219978,0.00201384,0.00147493,0.0207771,0.00768212,0.00969597,-0.00025988,0.00153193,-0.0,0.205313,0.0,0.00127627,0.00119119,0.00038414,0.0162194,-0.713195,0.039831,-0.0,-0.249309,0.00147493,0.00127627,-1.72525,0.102657,0.000704461,-0.00144644,-0.0,0.000486726,0.0193919,0.000376106,-0.0235473,0.590538,-0.0113883,0.00994183,0.0207771,0.000116226,5.7007e-05,-0.0235473,-1.86818,0.822977,-0.0191306,0.263782,-0.00163643
,,,,,,,,,,,,,,,,0.0200185,0.000697767,0.000211453,0.230319,-0.0,0.00147493,0.0230287,0.0107467,0.0107467,-0.000265861,0.00169795,-0.0,0.214964,0.0,0.00149521,0.00139553,0.000486313,0.0169819,-0.702758,0.043452,-0.0,-0.261028,0.00147493,0.00149521,-1.71855,0.107482,0.000886684,-0.00169458,-0.0,0.00050885,0.0214935,0.00039823,-0.0260992,0.632346,-0.0113883,0.0096937,0.0230287,0.000132369,0.000223025,-0.0260992,-1.78484,1.05962,0.00637687,0.348888,-0.00194971
,,,,,,,,,,,,,,,,0.0222157,0.000810688,0.000221523,0.240469,0.00067128,0.00147493,0.0253828,0.011174,0.0118453,-0.000270144,0.00187152,-0.0,0.224438,0.0,0.00173719,0.00162138,0.000589165,0.0177302,-0.667968,0.043452,-0.0,-0.272531,0.00147493,0.00173719,-1.71855,0.112219,0.0010904,-0.00196881,-0.0,0.000530973,0.0236906,0.000420354,-0.0287672,0.658476,-0.0113883,0.00941946,0.0253828,0.00015021,0.000396597,-0.0287672,-1.80571,1.0004,3.7305e-09,0.327582,-0.00187126
,,,,,,,,,,,,,,,,0.0245067,0.000934829,0.000231592,0.250429,0.00067128,0.00147493,0.0278375,0.0123195,0.0129908,-0.00025053,0.00205251,-0.0,0.233733,0.0,0.00200321,0.00186966,0.000703238,0.0184646,-0.664489,0.054315,-0.0,-0.283819,0.00147493,0.00200321,-1.71855,0.116867,0.00131656,-0.0022703,-0.0,0.000553097,0.0259816,0.000420354,-0.0315491,0.668928,-0.0113883,0.00911797,0.0278375,0.000169824,0.000577583,-0.0315491,-1.80565,1.00051,-0.000310774,0.327666,-0.00226379
,,,,,,,,,,,,,,,,0.0268898,0.00107066,0.00025173,0.2602,0.00067128,-0.0,0.0303908,0.0135111,0.0141824,-0.000251193,0.00224077,1.00692e-05,0.242853,0.0,0.00229427,0.00214131,0.000818927,0.019185,-0.650573,0.061557,0.005226,-0.294893,0.00147493,0.0022842,-1.7219,0.121427,0.00154397,-0.00260017,-0.0,0.000597345,0.0283647,0.000442478,-0.0344429,0.700284,-0.0113883,0.00878811,0.0303908,0.000191284,0.00224077,-0.0344429,-1.66763,1.26504,0.0363871,0.477272,-0.00182046
,,,,,,,,,,,,,,,,0.0249384,0.00121863,0.000261799,0.269783,0.00201384,0.00147493,0.0323695,0.0134052,0.0154191,-0.000249938,0.00243616,1.00692e-05,0.251798,0.0,0.00261134,0.00243725,0.000956828,0.0198916,-0.636657,0.076041,0.005226,-0.305754,0.0058997,0.00260127,-1.7219,0.125899,0.00177354,-0.00295952,0.00067128,0.000663717,0.0308381,0.000464602,-0.0374463,0.73164,-0.0113883,0.00842875,0.0330408,0.000214663,0.000961238,-0.0374463,-1.84788,0.875434,-0.0396726,0.285429,-0.0018553
,,,,,,,,,,,,,,,,0.0275004,0.00137919,0.000281938,0.27918,0.00067128,0.00147493,0.0357858,0.0160288,0.0167,-0.000246695,0.00263856,1.00692e-05,0.260568,0.0,0.0029554,0.00275837,0.00109725,0.0205845,-0.622741,0.083283,0.036582,-0.316404,0.0058997,0.00294533,-1.7219,0.130284,0.00202828,-0.00334945,-0.0,0.000730088,0.0334001,0.000486726,-0.0405572,0.768222,-0.0113883,0.00803882,0.0357858,0.000240031,0.00116363,-0.0405572,-1.70009,1.21186,0.0103567,0.441846,-0.00224492
