wrench_mz.txt,wrench_fx.txt,wrench_fy.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_5.txt,wrench_fz.txt,integralf_4.txt,wrench_my.txt,integralf_1.txt,proportionalf_3.txt,wrench_mx.txt,proportionalf_1.txt,integralf_3.txt,integralf_5.txt,proportionalf_4.txt,accd5.txt,veld3.txt,vela3.txt,error_vel_2.txt,posd1.txt,veld5.txt,posd2.txt,trq2.txt,vela2.txt,error_pos_3.txt,posa4.txt,accd4.txt,posa1.txt,posd3.txt,trq3.txt,trq5.txt,posd4.txt,posa3.txt,accd2.txt,vela5.txt,error_pos_2.txt,trq4.txt,vela1.txt,error_vel_4.txt,accd1.txt,accd3.txt,veld2.txt,vela4.txt,error_vel_3.txt,posa5.txt,error_pos_1.txt,error_pos_5.txt,trq1.txt,error_vel_5.txt,posd5.txt,veld4.txt,veld1.txt,error_vel_1.txt,posa2.txt,error_pos_4.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_2.txt,estimated_trqs_3.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,0.256328,-0.605694,-0.606327,-0.183185,0.224271,2.32901,0.672812,0.75777,0.882063,-0.0962512,0.32385,0.0411252,0.180068,-0.583104,-4.3081,0.219177,0.358833,-0.486853,0.0771098,0.174041,0.0506962,0.07242,0.231592,-0.13169,0.0257033,-0.0668285,0.698878,0.504425,0.000633525,0.0358186,0.0442031,2.20789,0.998166,2.15496,2.24371,0.372735,0.232959,0.00136741,0.622116,0.0349836,0.204102,0.000887763,-0.96397,-1.92114,-0.0649379
,,,,,,,,,,,,,,,,0.233098,-0.606332,-0.607375,-0.184463,0.226602,2.33145,0.679805,0.799578,0.884076,-0.0964366,0.328872,0.0374063,0.182384,-0.589164,-4.34495,0.212219,0.362562,-0.492727,0.0701367,0.181416,0.0491802,0.126735,0.229578,-0.140147,0.0233789,-0.0607852,0.699614,0.513274,0.00104265,0.0375664,0.044218,2.22944,0.982488,2.15004,2.26701,0.373127,0.233205,0.00362667,0.630624,0.0336908,0.301658,-0.00317929,-0.474836,-1.55961,0.251505
,,,,,,,,,,,,,,,,0.209833,-0.60691,-0.601091,-0.188495,0.228935,2.33367,0.686804,0.726414,0.888775,-0.0960469,0.334469,0.0336817,0.184881,-0.59523,-4.3282,0.160034,0.366296,-0.499183,0.0631531,0.169617,0.0463119,0.068799,0.232263,-0.141266,0.021051,-0.0547327,0.70028,0.514749,-0.00581814,0.0395575,0.044054,2.25078,1.01384,2.16405,2.29034,0.373483,0.233427,0.0011637,0.640492,0.0318265,0.352776,0.00719255,-0.460724,-1.64288,0.131051
,,,,,,,,,,,,,,,,0.186537,-0.607427,-0.600044,-0.19394,0.23127,2.33565,0.69381,0.580086,0.894817,-0.0961339,0.33958,0.029952,0.187136,-0.601302,-4.422,0.06958,0.370032,-0.505168,0.05616,0.20059,0.0445475,0.10863,0.232263,-0.148323,0.01872,-0.048672,0.700877,0.522124,-0.00738236,0.041615,0.0441338,2.27207,0.972036,2.13506,2.31368,0.373801,0.233626,0.00136255,0.649262,0.0304524,0.0140362,-0.000337652,-1.62884,-1.98842,0.00885142
,,,,,,,,,,,,,,,,0.163212,-0.607883,-0.593761,-0.188715,0.233607,2.3374,0.700821,0.491244,0.890118,-0.0962414,0.344867,0.0262178,0.189563,-0.607379,-4.47225,0.017395,0.373771,-0.511137,0.0491585,0.196165,0.0428692,0.083283,0.233606,-0.152467,0.0163862,-0.042604,0.701403,0.526549,-0.0141219,0.0435398,0.0440442,2.29351,1.05043,2.14123,2.33705,0.374082,0.233801,0.000195525,0.657952,0.0289042,0.405013,-0.00139184,-0.346958,-1.42515,0.161017
,,,,,,,,,,,,,,,,0.139862,-0.608279,-0.587478,-0.194299,0.235946,2.33891,0.707838,0.512148,0.896159,-0.096746,0.350265,0.0224798,0.191818,-0.613459,-4.5962,0.024353,0.377513,-0.516713,0.0421495,0.19469,0.040783,0.083283,0.234277,-0.156648,0.0140498,-0.0365296,0.70186,0.530973,-0.0208008,0.0454867,0.0441275,2.31494,0.982488,2.14422,2.36043,0.374325,0.233953,-0.000323573,0.667055,0.027248,-0.101117,0.000438552,-1.78865,-2.03763,0.0275087
,,,,,,,,,,,,,,,,0.116492,-0.608614,-0.5791,-0.189885,0.238286,2.34019,0.714858,0.438984,0.892132,-0.0969243,0.355465,0.0187383,0.194175,-0.619544,-4.5627,0.041748,0.381258,-0.52262,0.0351343,0.19174,0.0392045,0.076041,0.235619,-0.153492,0.0117114,-0.0304497,0.702246,0.528024,-0.0295133,0.0473673,0.0441115,2.33646,1.05043,2.14845,2.38383,0.374531,0.234082,-0.00153733,0.675654,0.0257932,-0.183855,0.00412016,-1.79869,-2.28857,0.0295952
,,,,,,,,,,,,,,,,0.0931039,-0.608888,-0.578053,-0.189569,0.240627,2.34124,0.721882,0.360594,0.892132,-0.0972627,0.360531,0.014994,0.196531,-0.625631,-4.57275,0.125244,0.385004,-0.528369,0.0281137,0.20354,0.0372167,0.076041,0.235619,-0.148899,0.00937125,-0.0243652,0.702563,0.523599,-0.0308345,0.0495354,0.0440967,2.3577,0.96681,2.1377,2.40723,0.3747,0.234188,-0.00143191,0.684666,0.0244731,-0.401547,0.00407025,-2.52696,-2.6316,-0.362359
,,,,,,,,,,,,,,,,0.0697019,-0.609101,-0.5791,-0.185967,0.24297,2.34206,0.728909,0.334464,0.888775,-0.0974622,0.365686,0.0112475,0.198887,-0.631721,-4.5962,0.191345,0.388752,-0.534259,0.021089,0.218289,0.0357049,0.07242,0.230249,-0.142868,0.00702967,-0.0182771,0.702809,0.517699,-0.0300006,0.0517257,0.0440828,2.37892,1.10269,2.12377,2.43065,0.374831,0.23427,0.00402034,0.693205,0.0230659,-0.508468,0.00431094,-2.76719,-2.92065,0.372559
,,,,,,,,,,,,,,,,0.0462894,-0.609253,-0.584336,-0.179078,0.245313,2.34264,0.735938,0.28743,0.882063,-0.0979463,0.370619,0.00749925,0.201163,-0.637813,-4.55935,0.215698,0.3925,-0.539867,0.0140611,0.216814,0.0339133,0.065178,0.237633,-0.142774,0.00468703,-0.0121863,0.702984,0.517699,-0.0249169,0.0538053,0.0441502,2.40027,1.07656,2.12582,2.45407,0.374925,0.234328,-0.00330516,0.702025,0.0218811,-0.43193,0.00480534,-2.65708,-2.66423,-0.0668323
