wrench_mx.txt,wrench_mz.txt,wrench_fy.txt,proportionalf_4.txt,integralf_1.txt,wrench_fz.txt,integralf_3.txt,integralf_2.txt,wrench_my.txt,proportionalf_1.txt,proportionalf_2.txt,integralf_4.txt,proportionalf_3.txt,wrench_fx.txt,proportionalf_5.txt,integralf_5.txt,accd4.txt,accd2.txt,trq1.txt,vela2.txt,posd2.txt,error_vel_2.txt,error_pos_3.txt,accd3.txt,trq3.txt,posd3.txt,veld2.txt,vela1.txt,posa3.txt,trq2.txt,trq5.txt,accd1.txt,posa4.txt,veld3.txt,error_pos_4.txt,vela4.txt,accd5.txt,posa1.txt,posa2.txt,posd1.txt,posd4.txt,error_vel_4.txt,vela3.txt,veld5.txt,posa5.txt,error_pos_5.txt,error_vel_1.txt,veld1.txt,error_pos_2.txt,vela5.txt,error_pos_1.txt,trq4.txt,error_vel_3.txt,veld4.txt,posd5.txt,error_vel_5.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_5.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,1.15425,0.64125,0.219492,0.00067128,0.00115812,0.0331725,0.00530958,-0.51299,-0.5092,-0.00094219,0.0338437,0.00067128,-0.00625177,0.344916,-0.650573,1.92375,0.000884956,-0.0270745,0.00119967,0.019174,0.0709209,3.02076e-05,0.000161107,0.00347437,0.00208463,0.0417447,-0.0973894,0.00374305,0.000199115,-4.8905e-05,0.10086,0.101531,0.000997018,-0.0,0.00344417,-0.141219,0.0703149,0.0609188,0.00015021,0.00374305,-2.23141,0.375258,0.0604914,-0.0012957,1.0412
,,,,,,,,,,,,,,,,1.24896,0.693866,0.41808,0.00067128,0.00152951,0.0398497,0.00622199,-0.555082,-0.5159,-0.00123929,0.040521,0.00268512,-0.00746128,0.39195,-0.640136,2.0816,0.00130531,-0.0324162,0.00144781,0.0353982,0.0767401,7.04845e-05,0.000171177,0.00458853,0.00275312,0.0375396,-0.113097,0.00448154,0.000199115,-7.83054e-06,0.118878,0.121563,0.00135833,0.00147493,0.00451805,-0.097767,0.0806812,0.0729378,0.000191284,0.00300661,-1.96423,0.670048,0.0643286,-0.00261089,1.48684
,,,,,,,,,,,,,,,,1.34006,0.74448,0.62712,0.00201384,0.00197027,0.0457006,0.00717315,-0.595572,-0.59965,-0.00159189,0.0477144,0.00469896,-0.00876504,0.465114,-0.636657,2.23344,0.00201327,-0.0381708,0.0015332,0.0619469,0.0823379,0.000140969,0.000181246,0.0059108,0.00354648,0.023939,-0.128805,0.00527711,0.000221239,1.87922e-05,0.138444,0.143143,0.00178902,0.00147493,0.00576983,-0.010863,0.0906345,0.0858859,0.000240031,0.00380219,-1.90709,0.316322,0.223731,-0.000950055,0.977982
,,,,,,,,,,,,,,,,1.4276,0.793114,0.88842,0.00067128,0.00248545,0.0547327,0.00804907,-0.634479,-0.7504,-0.00200403,0.055404,0.0107405,-0.0100531,0.49647,-0.622741,2.37934,0.0025885,-0.0443223,0.00188532,0.0663717,0.0877167,0.000302076,0.000191315,0.00745636,0.00447381,0.0333555,-0.131947,0.00612757,0.000243363,5.36468e-05,0.155472,0.166212,0.00229414,-0.0,0.00715428,0.061557,0.0876246,0.0997272,0.00029701,0.00612757,-1.78197,0.126906,0.551897,0.00198509,0.898321
,,,,,,,,,,,,,,,,1.51162,0.83979,1.0243,0.00067128,0.00307993,0.0628989,0.00875159,-0.671819,-0.9514,-0.00247961,0.0635702,0.0241661,-0.0112312,0.553956,-0.601867,2.51937,0.00309734,-0.0508551,0.00244654,0.0530973,0.092879,0.000614222,0.000211453,0.0092398,0.00554388,0.0613289,-0.125664,0.00703072,0.000243363,0.000119395,0.166544,0.19071,0.00286848,0.00147493,0.00862558,0.105009,0.0748086,0.114426,0.000362758,0.0055558,-1.1379,0.454797,0.67661,0.00120531,1.44827
,,,,,,,,,,,,,,,,1.59216,0.884531,1.26992,0.00201384,0.00375838,0.0701795,0.00918274,-0.707611,-1.0653,-0.00302235,0.0721934,0.0402768,-0.0122051,0.595764,-0.577514,2.65359,0.00345133,-0.0577536,0.00331375,0.0412979,0.0978273,0.00106734,0.000231592,0.0112751,0.00676508,0.0886501,-0.107861,0.00798443,0.000265487,0.000172306,0.176303,0.21658,0.00352679,0.00147493,0.0102078,0.112251,0.0501078,0.129948,0.000437793,0.00650951,-0.94771,0.432049,0.510911,0.00011408,1.33423
,,,,,,,,,,,,,,,,1.66925,0.92736,1.33263,0.00201384,0.00452526,0.0792406,0.00922898,-0.741873,-1.28305,-0.00363585,0.0812544,0.0523599,-0.0128648,0.674154,-0.570556,2.78208,0.00365044,-0.0650022,0.00449503,0.0235988,0.102564,0.00165135,0.000261799,0.0135758,0.00814547,0.122659,-0.0827286,0.00898656,0.000287611,0.000234998,0.191403,0.243763,0.00426346,-0.0,0.0119244,0.086904,0.0177264,0.146258,0.000522608,0.00898656,0.45293,1.14824,0.701511,-0.000307978,2.47384
,,,,,,,,,,,,,,,,1.74294,0.968299,1.48941,0.00402768,0.00538486,0.0867066,0.0087141,-0.774624,-1.608,-0.00432351,0.0907343,0.0684706,-0.0130376,0.75777,-0.55664,2.9049,0.00369469,-0.072586,0.00599806,0.0103245,0.107092,0.00242668,0.000302076,0.0161546,0.00969275,0.152997,-0.0324631,0.010035,0.000287611,0.000330068,0.203732,0.272203,0.00508279,0.00147493,0.0137279,0.068799,-0.0401229,0.163322,0.000617678,0.00856009,-0.555724,0.71996,0.756201,0.000905271,1.81661
,,,,,,,,,,,,,,,,1.81327,1.00737,1.56257,0.00469896,0.00634128,0.0959152,0.00793327,-0.80588,-1.809,-0.00508863,0.100614,0.0865952,-0.0130219,0.815256,-0.542724,3.02211,0.00369469,-0.0804897,0.00771961,-0.0,0.111413,0.00332284,0.000352422,0.0190238,0.0114143,0.181105,-0.00314159,0.0111277,0.000309734,0.000413721,0.215247,0.301842,0.00598886,0.00147493,0.015701,0.061557,-0.0773481,0.181105,0.000723456,0.00965279,-1.38263,0.55438,0.788513,0.00133828,1.66994
,,,,,,,,,,,,,,,,1.88027,1.0446,1.61483,0.00805537,0.00739842,0.10282,0.00707187,-0.835661,-1.83915,-0.00593433,0.110876,0.105391,-0.0130062,0.88842,-0.532287,3.13379,0.00371681,-0.0886987,0.00960034,-0.0,0.11553,0.00445059,0.000453114,0.0221953,0.0133172,0.199576,0.00314159,0.0122626,0.000331858,0.000508515,0.227235,0.332627,0.0069453,0.00147493,0.0177447,0.054315,-0.0918403,0.199576,0.000840373,0.0107877,-1.6129,0.597199,0.918161,0.00124513,1.88514
