proportionalf_5.txt,wrench_fy.txt,proportionalf_3.txt,integralf_4.txt,integralf_5.txt,integralf_1.txt,proportionalf_4.txt,integralf_3.txt,wrench_my.txt,wrench_mz.txt,integralf_2.txt,proportionalf_1.txt,wrench_fz.txt,wrench_fx.txt,wrench_mx.txt,proportionalf_2.txt,posa4.txt,posa5.txt,trq1.txt,error_vel_1.txt,trq4.txt,veld5.txt,error_vel_5.txt,error_pos_4.txt,trq3.txt,error_vel_4.txt,vela1.txt,vela2.txt,accd5.txt,error_pos_2.txt,veld4.txt,accd3.txt,posa3.txt,posd3.txt,error_pos_5.txt,accd1.txt,trq2.txt,posd1.txt,posd4.txt,posa1.txt,error_vel_2.txt,veld3.txt,trq5.txt,accd2.txt,posd5.txt,accd4.txt,veld2.txt,vela3.txt,vela4.txt,veld1.txt,posa2.txt,posd2.txt,error_vel_3.txt,error_pos_1.txt,vela5.txt,error_pos_3.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_3.txt,estimated_trqs_1.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.198518,0.00367257,1.82387,0.0613105,0.709716,0.45297,0.451495,0.0778537,-3.4639,-0.00858281,0.968658,0.00067128,0.240528,0.0506513,0.411771,-0.146302,-0.112846,-0.20015,0.30022,0.549316,2.79591,0.688019,0.276371,0.586179,0.0817262,-0.286971,0.083496,0.0439453,0.303892,0.218555,0.0823975,-0.345575,0.420354,1.02997,0.00439017,0.0550415,0.0586042,0.10184,0.00147493,-0.0873044,0.389879,-0.00129472,-1.69214,0.150227,1.18531
,,,,,,,,,,,,,,,,0.202633,0.00367257,1.84478,0.0627283,0.525045,0.455354,0.455354,0.0778672,-3.4371,-0.012316,0.972685,0.00067128,0.236329,0.0514775,0.413938,-0.143688,-0.116208,-0.203027,0.304761,0.539751,2.80636,0.698346,0.2805,0.595573,0.0821618,-0.288421,0.038269,0.0431801,0.308434,0.214739,0.0828331,-0.345575,0.426254,1.03541,0.00439017,0.0558677,0.0571542,0.102772,-0.0,-0.0868199,0.109192,0.000584174,-2.05918,0.250777,0.789922
,,,,,,,,,,,,,,,,0.206814,0.00367257,1.89181,0.0613648,0.698853,0.457696,0.457696,0.0778358,-3.43375,-0.00871292,0.979398,-0.0,0.232093,0.0522979,0.416066,-0.14105,-0.119773,-0.205919,0.309326,0.5301,2.85862,0.708727,0.28465,0.605522,0.083261,-0.289845,0.073059,0.042408,0.312999,0.210889,0.083261,-0.348717,0.424779,1.04076,0.00440024,0.0566981,0.0588721,0.103205,-0.0,-0.0861455,0.196303,0.000133135,-2.09266,0.22804,0.952122
,,,,,,,,,,,,,,,,0.211239,0.00367257,1.85,0.0605756,0.659022,0.459996,0.459996,0.0775822,-3.45385,-0.0110482,0.98544,0.00067128,0.227819,0.0531326,0.418155,-0.13839,-0.123245,-0.208824,0.313915,0.520364,2.8743,0.719161,0.288821,0.61548,0.08301,-0.291242,0.083496,0.0416291,0.317588,0.207005,0.0836812,-0.356047,0.429204,1.04602,0.00440024,0.0575329,0.0648053,0.10368,-0.0,-0.0855795,0.21966,0.00132085,-1.7466,0.44325,1.02565
,,,,,,,,,,,,,,,,0.21542,0.00367257,1.85,0.0543185,0.557634,0.462253,0.462253,0.0775926,-3.3634,-0.00604787,0.996852,-0.0,0.22351,0.0539614,0.420206,-0.135708,-0.126873,-0.211743,0.318526,0.510546,2.92656,0.729647,0.293013,0.625499,0.0840936,-0.292612,0.090454,0.0408437,0.322199,0.203088,0.0840936,-0.352906,0.426254,1.05117,0.00441031,0.0583717,0.0602932,0.104148,-0.0,-0.0848702,0.217803,-0.00222146,-2.02564,-0.161463,0.87815
,,,,,,,,,,,,,,,,0.219823,0.00367257,1.85,0.0634022,0.7242,0.464466,0.464466,0.0774021,-3.4773,-0.00698656,0.992824,0.00067128,0.219164,0.0547943,0.422217,-0.133004,-0.13047,-0.214676,0.32316,0.500647,2.97359,0.740184,0.297225,0.635578,0.0838268,-0.293956,0.093933,0.0400518,0.326832,0.199139,0.0844981,-0.358142,0.429204,1.05623,0.00442038,0.0592147,0.0641856,0.104605,-0.0,-0.084206,0.705284,-0.000478746,-1.35221,0.374766,1.69866
,,,,,,,,,,,,,,,,0.224181,0.00367257,1.9493,0.0582896,0.54315,0.466636,0.466636,0.0772758,-3.41365,-0.0241891,1.00289,0.00067128,0.214785,0.0556312,0.424188,-0.130278,-0.13391,-0.217622,0.327815,0.490669,3.01018,0.750771,0.301457,0.645718,0.0842233,-0.295272,0.073059,0.0392535,0.331488,0.195158,0.0848946,-0.358142,0.448378,1.06118,0.00443045,0.0600617,0.0628692,0.105053,-0.0,-0.0837121,0.178587,0.00037373,-1.91396,0.259957,0.937976
,,,,,,,,,,,,,,,,0.228739,0.00367257,1.86568,0.0564333,0.662643,0.468762,0.468762,0.0769698,-3.48065,-0.0207826,1.00961,0.00067128,0.210371,0.056472,0.42612,-0.127532,-0.137586,-0.220582,0.332492,0.480613,3.02585,0.761407,0.305709,0.655405,0.0846119,-0.296561,0.10437,0.0384491,0.336165,0.191146,0.0852831,-0.359189,0.446903,1.06604,0.00444052,0.0609126,0.0626273,0.106002,-0.0,-0.0829956,0.419908,0.000707586,-1.53341,0.443667,1.34484
,,,,,,,,,,,,,,,,0.233208,0.00367257,1.83955,0.0497771,0.673506,0.470843,0.470843,0.0767715,-3.35,-0.0233161,1.02102,0.00067128,0.205924,0.0573268,0.428011,-0.124765,-0.141136,-0.223554,0.337191,0.470482,3.08334,0.772091,0.309979,0.665826,0.0849923,-0.297823,0.066101,0.0376386,0.340863,0.187105,0.0856636,-0.356047,0.451327,1.07079,0.00444052,0.0617673,0.0582242,0.106265,-0.0,-0.0824176,-0.108057,-0.0011776,-2.38222,-0.168964,0.365294
,,,,,,,,,,,,,,,,0.238097,0.00367257,1.84478,0.0584586,0.586602,0.47288,0.47288,0.0761715,-3.42705,-0.0140908,1.01699,-0.0,0.201445,0.0581752,0.429862,-0.121978,-0.145142,-0.226538,0.341909,0.460277,3.1147,0.782823,0.314269,0.677215,0.0860359,-0.299057,0.090454,0.0368222,0.345582,0.183034,0.0860359,-0.36233,0.443953,1.07545,0.00445059,0.0626258,0.0632737,0.105608,-0.0,-0.0813965,0.237027,0.000953105,-1.96324,0.386267,1.07948
