integralf_4.txt,wrench_my.txt,proportionalf_2.txt,wrench_mz.txt,proportionalf_1.txt,integralf_1.txt,wrench_fy.txt,wrench_fx.txt,wrench_mx.txt,proportionalf_5.txt,wrench_fz.txt,proportionalf_3.txt,integralf_5.txt,integralf_2.txt,proportionalf_4.txt,integralf_3.txt,trq5.txt,posa1.txt,accd4.txt,veld2.txt,trq3.txt,trq4.txt,error_pos_5.txt,veld5.txt,error_vel_1.txt,accd5.txt,vela2.txt,posa4.txt,error_pos_4.txt,posa2.txt,trq2.txt,error_vel_3.txt,error_vel_5.txt,vela3.txt,error_pos_3.txt,posa3.txt,vela4.txt,veld3.txt,error_pos_2.txt,posd3.txt,veld1.txt,error_pos_1.txt,accd2.txt,posd1.txt,accd3.txt,vela1.txt,trq1.txt,vela5.txt,error_vel_4.txt,veld4.txt,posd2.txt,error_vel_2.txt,posd5.txt,posd4.txt,accd1.txt,posa5.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_2.txt,estimated_trqs_5.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,-0.887145,-0.0,0.0691548,0.00668408,-0.5561,-0.166566,-0.000138228,0.00049283,0.00222803,0.00960387,0.00067128,0.000442478,-0.00013092,0.000151038,0.308334,0.0999855,-0.000982096,-0.106814,0.0064388,-0.00677013,0.0058997,-0.00682867,7.46357e-05,-0.000331335,0.00222803,7.52246e-05,0.130254,7.52246e-05,-0.112664,-0.0,0.005226,0.00147493,-0.000875996,0.00502371,0.000225674,0.0060128,3.87633e-05,0.000311558,0.043418,0.000176991,-2.53926,0.0675396,0.617405,-0.00157887,-0.0117201
,,,,,,,,,,,,,,,,-0.876708,-0.0,0.0754756,0.00804632,-0.5695,-0.148461,-0.000132805,0.00059327,0.00268211,0.0104817,0.00067128,0.000553097,-0.000187738,0.000161107,0.33969,0.115562,0.00059327,-0.123569,0.0075428,-0.00794823,0.0103245,-0.00800694,0.000138119,-0.000405427,0.00268211,9.97422e-05,0.14216,9.97422e-05,-0.122962,-0.0,0.005226,-0.0,-0.00457753,0.00574695,0.000299227,0.00737504,4.41864e-05,0.000365359,0.0473866,0.000176991,-1.31502,0.5311,1.26113,-0.00200241,-0.00124754
,,,,,,,,,,,,,,,,-0.859313,-0.0,0.0816905,0.00952661,-0.6365,-0.14484,-0.000148457,0.000702415,0.00317554,0.0113449,-0.0,0.000685841,-0.000259134,0.000161107,0.355368,0.10381,-0.000772511,-0.113097,0.00857168,-0.00906349,0.0103245,-0.00928732,0.000225886,-0.000491814,0.00317554,0.000128998,0.153866,0.000128998,-0.133087,-0.0,0.005226,0.00147493,-0.00379162,0.00653287,0.000386994,0.00952661,5.06577e-05,0.000426706,0.0512887,0.000199115,-1.58262,0.611624,1.39789,-0.00274702,-0.00384092
,,,,,,,,,,,,,,,,-0.841918,-0.0,0.0878001,0.011123,-0.72695,-0.14484,-0.000162976,0.000820119,0.00370766,0.0121934,0.00067128,0.000929203,-0.000432982,0.000171177,0.386724,0.103476,-0.000654807,-0.114145,0.00969721,-0.0102887,0.0221239,-0.0106681,0.000318969,-0.000591509,0.00370766,0.000163382,0.165374,0.000163382,-0.143041,-0.0,0.010452,0.00147493,-0.0147435,0.00738041,0.000490146,0.0104517,5.82633e-05,0.000496222,0.0551248,0.000221239,-1.05452,0.854882,1.71171,-0.00340169,-0.00629359
,,,,,,,,,,,,,,,,-0.824523,-0.0,0.0938049,0.0128334,-0.8442,-0.152082,-0.000176275,0.000946234,0.00427781,0.0130274,0.00067128,0.00130531,-0.000730793,0.000181246,0.428532,0.0925722,-0.000528692,-0.10472,0.0106042,-0.0113097,0.0353982,-0.0121476,0.000428588,-0.000705505,0.00427781,0.000203278,0.176685,0.000203278,-0.152824,-0.0,0.010452,0.00147493,-0.0271097,0.00828852,0.000609834,0.0121622,6.70881e-05,0.000574516,0.0588952,0.000243363,-1.1382,0.970531,1.84543,-0.00418886,-0.0180235
,,,,,,,,,,,,,,,,-0.810607,-0.0,0.0997054,0.014656,-1.04855,-0.177429,-0.000188271,0.00108062,0.00488535,0.0138469,0.00067128,0.00190265,-0.00124046,0.000191315,0.47034,0.0878541,0.00108062,-0.101578,0.0114646,-0.0122993,0.058997,-0.013724,0.000555873,-0.000834783,0.00488535,0.000249063,0.1878,0.000249063,-0.162437,-0.0,0.010452,-0.0,-0.0497409,0.00925616,0.000747188,0.0139848,7.72155e-05,0.00066219,0.0626001,0.000265487,1.18572,1.64886,2.88845,-0.00507217,0.0308661
,,,,,,,,,,,,,,,,-0.80017,-0.0,0.105502,0.0165888,-1.51755,-0.177429,-0.000176759,0.00122312,0.0055296,0.014652,0.00067128,0.0025,-0.00174017,0.000201384,0.501696,0.0254449,-0.000251802,-0.0408407,0.0116803,-0.0126606,0.058997,-0.0153958,0.000701937,-0.000980303,0.0055296,0.000301107,0.19872,0.000301107,-0.171882,-0.0,0.010452,0.00147493,-0.0487148,0.0102823,0.000903322,0.0159175,8.87275e-05,0.000759834,0.06624,0.000265487,0.445958,1.16965,2.23666,-0.0040833,0.0338672
,,,,,,,,,,,,,,,,-0.782775,-0.0,0.111196,0.0186298,-1.742,-0.119493,-0.000185906,0.00137361,0.00620993,0.0154428,0.00067128,0.0029646,-0.00209657,0.000211453,0.533052,-0.0265859,-0.000101316,0.00942478,0.0114077,-0.0125507,0.0486726,-0.0171611,0.000867872,-0.00114301,0.00620993,0.000359775,0.209446,0.000359775,-0.181159,-0.0,0.010452,0.00147493,-0.0373067,0.0113659,0.00107933,0.0179585,0.000101705,0.000868028,0.0698152,0.000287611,-1.79252,0.202081,0.849495,-0.00145964,0.00931383
,,,,,,,,,,,,,,,,-0.76538,-0.0,0.116788,0.0207771,-1.80565,-0.07242,-0.000193509,0.00153193,0.00692569,0.0162194,0.00067128,0.00334071,-0.00235337,0.000221523,0.564408,-0.0326319,5.7007e-05,0.0136136,0.0111012,-0.012425,0.039823,-0.0190184,0.00105475,-0.00132383,0.00692569,0.000425424,0.219978,0.000425424,-0.190269,-0.0,0.010452,0.00147493,-0.0273171,0.0125059,0.00127627,0.0201058,0.000116226,0.00098734,0.0733261,0.000309734,-2.50187,-0.242101,0.242486,-0.000182286,0.0112229
,,,,,,,,,,,,,,,,-0.741027,-0.0,0.122277,0.0230287,-1.7889,0.021726,-0.000199489,0.00169795,0.00767624,0.0169819,0.00067128,0.00356195,-0.00244362,0.000241661,0.606216,-0.0282963,0.000223025,0.00733038,0.0108228,-0.0123465,0.0221239,-0.0209659,0.00125355,-0.00152368,0.00767624,0.000498405,0.230319,0.000498405,-0.199212,-0.0,0.010452,0.00147493,-0.00842262,0.0137013,0.00149521,0.0223574,0.000132369,0.00111833,0.076773,0.000331858,-2.33635,-0.132871,0.484947,-0.000540138,0.0314321
