wrench_mz.txt,wrench_my.txt,wrench_fz.txt,wrench_fx.txt,integralf_3.txt,integralf_1.txt,proportionalf_5.txt,integralf_5.txt,wrench_mx.txt,proportionalf_3.txt,proportionalf_1.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_4.txt,wrench_fy.txt,integralf_4.txt,posd4.txt,accd1.txt,error_vel_5.txt,veld5.txt,trq5.txt,posd2.txt,error_vel_3.txt,posa1.txt,error_vel_4.txt,veld4.txt,trq4.txt,veld3.txt,posa2.txt,error_pos_3.txt,posd1.txt,accd2.txt,error_pos_4.txt,veld2.txt,error_vel_2.txt,posa4.txt,error_vel_1.txt,trq2.txt,posd3.txt,error_pos_2.txt,veld1.txt,vela4.txt,vela2.txt,error_pos_5.txt,posa3.txt,posa5.txt,error_pos_1.txt,trq1.txt,vela5.txt,vela3.txt,vela1.txt,accd3.txt,accd4.txt,posd5.txt,accd5.txt,trq3.txt,estimated_trqs_5.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.367044,-0.340909,0.0443247,0.0443247,0.041748,0.366494,0.00508516,1.02166,-0.0374092,0.203004,0.807483,-0.407511,0.328417,-0.0623562,1.09948,-0.113636,0.067243,0.203759,-0.0499855,0.299801,-0.0230844,2.79591,-0.732992,0.0380766,0.611276,0.240413,0.253744,0.0778278,-0.670636,0.00380531,0.0778196,1.29605,-0.0,-0.412596,0.63436,0.227269,-0.113477,0.0816331,-0.0249811,-2.96475,-0.00483728,0.462668,-0.527568,-1.44634,0.225868
,,,,,,,,,,,,,,,,0.369068,-0.346486,0.0440729,0.0440729,0.010437,0.368526,0.00632928,1.02803,-0.0415031,0.20186,0.709716,-0.405219,0.330955,-0.062273,1.10558,-0.115495,0.0668337,0.202613,-0.0511312,0.302234,-0.0144384,2.62345,-0.737056,0.0375711,0.607839,0.243363,0.253744,0.0782698,-0.674783,0.00380531,0.0775515,1.2856,-0.0,-0.411549,0.622277,0.230987,-0.115323,0.0820751,-0.02538,-3.02505,-0.00211635,0.300061,-0.0470173,-1.54082,0.189703
,,,,,,,,,,,,,,,,0.371081,-0.352008,0.0438172,0.0438172,-0.017395,0.370546,0.00656319,1.03464,-0.0382407,0.200697,0.818346,-0.402891,0.333643,-0.0619467,1.11164,-0.117336,0.0661474,0.201449,-0.0522953,0.304934,-0.0165884,2.72797,-0.741096,0.0369029,0.604346,0.238938,0.253744,0.0787092,-0.679149,0.00380531,0.076997,1.43715,-0.0,-0.409454,0.620934,0.234669,-0.117151,0.0825146,-0.0257748,-3.0083,-0.00201514,0.299115,-0.217833,-1.96252,-0.45373
,,,,,,,,,,,,,,,,0.373082,-0.357473,0.0435575,0.0435575,0.027832,0.372555,0.0173057,1.04069,-0.0541705,0.199517,0.919734,-0.400526,0.336211,-0.0617698,1.11766,-0.119158,0.0656264,0.200266,-0.0481076,0.307456,-0.018122,2.58164,-0.745113,0.0363438,0.600799,0.253687,0.248374,0.0791461,-0.683344,0.00380531,0.0769712,1.39012,-0.0,-0.417832,0.618921,0.238312,-0.118961,0.0829514,-0.0261655,-3.015,-0.002946,0.475219,-0.0726089,-0.964644,0.637999
,,,,,,,,,,,,,,,,0.375071,-0.36288,0.0432939,0.0432939,0.03479,0.374551,0.00399891,1.04695,-0.0450446,0.198318,0.894387,-0.398125,0.338597,-0.0618204,1.12365,-0.12096,0.0652926,0.199066,-0.0486369,0.309779,-0.0190387,2.7541,-0.749107,0.0359541,0.597197,0.243363,0.247702,0.0795804,-0.687286,0.00380531,0.0767082,1.35353,-0.0,-0.402124,0.616235,0.241916,-0.120751,0.0833857,-0.0265519,-2.93795,0.000842588,-0.438689,-0.109281,-2.8884,-1.72369
,,,,,,,,,,,,,,,,0.377048,-0.368228,0.0430264,0.0430264,-0.024353,0.376536,0.0200495,1.05281,-0.0374114,0.197102,0.716958,-0.395688,0.340933,-0.0616426,1.12961,-0.122743,0.0649024,0.197847,-0.0438139,0.312146,-0.0233656,2.62345,-0.753076,0.0356026,0.593541,0.234513,0.241661,0.080012,-0.691433,0.00380531,0.0768017,1.3065,-0.0,-0.415737,0.616907,0.245481,-0.122521,0.0838173,-0.0269342,-2.97815,-0.00360756,0.571382,-0.213237,-1.16555,0.500578
,,,,,,,,,,,,,,,,0.379013,-0.373515,0.0427552,0.0427552,0.027832,0.378508,0.0162388,1.05895,-0.0430702,0.195868,0.735063,-0.393215,0.34332,-0.0615188,1.13552,-0.124505,0.0645222,0.196611,-0.0437076,0.314491,-0.0223754,2.84294,-0.75702,0.0351885,0.589832,0.238938,0.240318,0.0804409,-0.695501,0.00380531,0.0765764,1.26992,-0.0,-0.409454,0.612208,0.249006,-0.124272,0.0842462,-0.027312,-2.89775,-0.00231674,0.148474,-0.305206,-1.76878,-0.503695
,,,,,,,,,,,,,,,,0.380966,-0.378742,0.0424802,0.0424802,-0.003479,0.380468,0.0156047,1.06501,-0.0398968,0.194616,0.883524,-0.390708,0.345676,-0.0612915,1.1414,-0.126247,0.0641516,0.195357,-0.0402624,0.316814,-0.0207664,2.64958,-0.76094,0.0347922,0.586071,0.234513,0.235619,0.0808671,-0.699648,0.00380531,0.0763943,1.36921,-0.0,-0.406313,0.606838,0.252491,-0.126002,0.0846724,-0.0276855,-2.93795,-0.00321467,0.500661,-0.206697,-1.341,0.276158
,,,,,,,,,,,,,,,,0.382906,-0.383906,0.0422015,0.0422015,-0.020874,0.382415,0.0150053,1.07102,-0.0470651,0.193348,0.916113,-0.388166,0.348002,-0.0612432,1.14725,-0.127969,0.0636578,0.194086,-0.0395197,0.319248,-0.0205521,2.81159,-0.764834,0.0344134,0.582258,0.240413,0.233606,0.0812905,-0.703591,0.00380531,0.0762246,1.3065,-0.0,-0.403171,0.60281,0.255933,-0.127711,0.0850958,-0.0280545,-2.93125,-0.00168967,-0.0156916,-0.270341,-2.01664,-0.771795
,,,,,,,,,,,,,,,,0.384833,-0.389007,0.0419191,0.0419191,0.045227,0.38435,0.0175817,1.07704,-0.0395011,0.192062,0.789378,-0.385589,0.350227,-0.0612165,1.15305,-0.129669,0.0632397,0.192798,-0.0367802,0.321593,-0.0197177,2.62868,-0.768703,0.0341226,0.578393,0.231563,0.229578,0.0817111,-0.707487,0.00380531,0.0760066,1.35876,-0.0,-0.403171,0.598111,0.259334,-0.1294,0.0855164,-0.0284189,-2.98485,-0.00404344,0.668819,-0.235042,-0.883936,0.693239
