wrench_my.txt,wrench_mx.txt,wrench_fy.txt,proportionalf_2.txt,proportionalf_4.txt,integralf_1.txt,integralf_4.txt,proportionalf_3.txt,proportionalf_1.txt,integralf_3.txt,integralf_2.txt,integralf_5.txt,wrench_fz.txt,wrench_mz.txt,proportionalf_5.txt,wrench_fx.txt,error_vel_2.txt,trq1.txt,vela3.txt,trq3.txt,accd4.txt,error_vel_3.txt,vela4.txt,posd5.txt,error_pos_5.txt,vela5.txt,error_vel_1.txt,posa2.txt,posa3.txt,error_vel_5.txt,trq5.txt,veld4.txt,accd5.txt,posa5.txt,veld5.txt,trq2.txt,posd2.txt,trq4.txt,posd4.txt,posd1.txt,posa1.txt,vela1.txt,error_pos_1.txt,vela2.txt,posa4.txt,veld2.txt,error_pos_4.txt,veld3.txt,error_pos_2.txt,posd3.txt,accd3.txt,error_vel_4.txt,veld1.txt,accd1.txt,accd2.txt,error_pos_3.txt,estimated_trqs_5.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.0060128,-0.0,-0.141372,-0.603,0.173672,0.129964,0.00147493,0.000921324,0.000722209,-0.0,0.00222803,0.0001309,-0.00889071,0.0237392,-0.897582,0.00891211,0.433868,0.000199115,0.0237392,0.350142,0.000225674,0.039831,0.000300898,7.52246e-05,-0.0,-0.0,7.52246e-05,0.00067128,0.000309734,0.00668408,-8.83605e-06,-0.0114075,9.47741e-05,-0.00038515,-0.2223,0.00743718,0.00222803,0.043418,0.130254,0.00850556,-0.00180868,-0.00124767,-1.64113,0.442984,1.15565
,,,,,,,,,,,,,,,,0.00737504,-0.0,-0.139277,-0.74035,0.189546,0.125545,0.00442478,0.00118107,0.000981959,0.00147493,0.00268211,0.000140969,-0.0102102,0.0268018,-0.876708,0.0107284,0.473525,0.000199115,0.0282768,0.381498,0.000299227,0.03621,0.000398969,9.97422e-05,-0.0,-0.0,9.97422e-05,0.00067128,0.000331858,0.00804632,6.71104e-05,-0.0137324,0.000158258,-0.00051068,-0.242619,0.00630364,0.00268211,0.0473866,0.14216,0.0096995,-0.00276161,0.011449,-0.943244,0.664624,1.49
,,,,,,,,,,,,,,,,0.00885533,-0.0,-0.120428,-0.92125,0.205155,0.104169,0.00147493,0.00148817,0.00126693,0.00147493,0.00317554,0.000151038,-0.0113097,0.0317326,-0.852355,0.0127022,0.512518,0.000221239,0.0332075,0.412854,0.000386994,0.039831,0.000515992,0.000128998,-0.0,-0.0,0.000128998,0.00067128,0.000376106,0.00952661,0.000139885,-0.0162588,0.000235956,-0.000660469,-0.262598,0.0112272,0.00317554,0.0512887,0.153866,0.0106493,-0.00312452,0.000482797,-0.834496,0.788066,1.6198
,,,,,,,,,,,,,,,,0.011123,-0.0,-0.101578,-1.13565,0.220499,0.0825949,0.00442478,0.00184651,0.00160315,0.00147493,0.00370766,0.000161107,-0.0122522,0.03705,-0.841918,0.0148306,0.550851,0.000243363,0.0385249,0.428532,0.000490146,0.039831,0.000653528,0.000163382,-0.0,-0.0,0.000163382,-0.0,0.000420354,0.011123,0.000233174,-0.0189832,0.000329038,-0.000836515,-0.282239,0.0104059,0.00370766,0.0551248,0.165374,0.0114157,-0.00466231,0.0272997,0.413204,1.34197,2.47392
,,,,,,,,,,,,,,,,0.0121622,-0.0,-0.0575959,-1.4003,0.235581,0.0356935,0.0058997,0.00225994,0.00199445,0.00147493,0.00427781,0.000161107,-0.0126763,0.0427474,-0.817565,0.0171113,0.588527,0.000265487,0.0442224,0.47034,0.000609834,0.050694,0.000813112,0.000203278,-0.0,-0.0,0.000203278,0.00067128,0.000464602,0.0128334,0.00034851,-0.0219024,0.000448726,-0.00104078,-0.301543,0.0112116,0.00427781,0.0588952,0.176685,0.0116355,-0.00556595,0.0301303,0.998884,1.54534,2.74572
,,,,,,,,,,,,,,,,0.0139848,-0.0,0.0,-1.65155,0.2504,-0.025013,0.00442478,0.00273221,0.00244459,-0.0,0.00488535,0.000171177,-0.0125978,0.0502933,-0.796691,0.0195414,0.625549,0.000287611,0.0502933,0.517374,0.000747188,0.050694,0.000996251,0.000249063,-0.0,-0.0,0.000249063,0.00067128,0.00050885,0.014656,0.000487402,-0.025013,0.000576012,-0.0012752,-0.320513,0.0151166,0.00488535,0.0626001,0.1878,0.0113226,-0.00171453,0.0086873,-1.43664,0.425587,1.15444
,,,,,,,,,,,,,,,,0.0159175,-0.0,0.00942478,-1.73865,0.26496,-0.0377363,-0.0,0.00326702,0.00297941,0.00147493,0.0055296,0.000181246,-0.0125035,0.0552562,-0.782775,0.0221184,0.661921,0.000287611,0.0567312,0.54873,0.000903322,0.054315,0.00120443,0.000301107,-0.0,-0.0,0.000301107,0.00067128,0.000530973,0.0165888,0.000673455,-0.0283116,0.000722076,-0.00154167,-0.339149,0.0221184,0.0055296,0.06624,0.19872,0.0109619,-0.00179961,-0.00279052,-1.92694,0.296121,0.950964
,,,,,,,,,,,,,,,,0.0179585,-0.0,0.00628319,-1.7554,0.279261,-0.038078,0.00147493,0.00386803,0.0035583,0.00147493,0.00620993,0.000191315,-0.0124721,0.0620546,-0.761901,0.0248397,0.697647,0.000309734,0.0635295,0.57486,0.00107933,0.054315,0.0014391,0.000359775,-0.0,-0.0,0.000359775,0.00067128,0.000530973,0.0186298,0.000908127,-0.0317948,0.00088801,-0.00184205,-0.357454,0.0233648,0.00620993,0.0698152,0.209446,0.0106301,-0.00150471,-0.00318121,-2.11371,0.191814,0.806486
,,,,,,,,,,,,,,,,0.0201058,-0.0,0.0,-1.7554,0.293304,-0.0354595,0.00147493,0.0045388,0.00420694,0.00147493,0.00692569,0.000201384,-0.0124721,0.069207,-0.744506,0.0277028,0.73273,0.000331858,0.070682,0.595764,0.00127627,0.057936,0.0017017,0.000425424,-0.0,-0.0,0.000425424,0.00067128,0.000575221,0.0207771,0.00112647,-0.0354595,0.00107489,-0.00217817,-0.37543,0.0262278,0.00692569,0.0733261,0.219978,0.010294,-0.00248668,-0.00270698,-1.74023,0.400431,1.0954
,,,,,,,,,,,,,,,,0.0223574,-0.0,0.0,-1.7554,0.307092,-0.0393023,0.00442478,0.00528283,0.00495097,-0.0,0.00767624,0.000211453,-0.0124721,0.078182,-0.723632,0.030705,0.767173,0.000331858,0.078182,0.621894,0.00149521,0.065178,0.00199362,0.000498405,-0.0,-0.0,0.000498405,0.00067128,0.000597345,0.0230287,0.00139627,-0.0393023,0.00128376,-0.00255183,-0.393078,0.0262802,0.00767624,0.076773,0.230319,0.00992029,-0.00126518,0.00270703,-1.86874,0.256376,0.907911
